frameIdentifier,sessionUID,carIndex,name,fl,fr,rl,rr
0,987,5,M4,1,0,1,1
23,987,5,M4,1,0,1,1
45,987,5,M4,1,0,1,1
67,987,5,M4,1,0,1,1
88,987,5,M4,1,0,1,1
110,987,5,M4,1,0,1,1
132,987,5,M4,1,0,1,1
154,987,5,M4,1,0,1,1
176,987,5,M4,1,0,2,1
198,987,5,M4,1,0,2,1
220,987,5,M4,1,0,2,1
242,987,5,M4,1,0,2,1
264,987,5,M4,1,0,2,1
286,987,5,M4,1,0,2,1
308,987,5,M4,1,0,2,1
331,987,5,M4,1,0,2,1
353,987,5,M4,1,0,2,1
373,987,5,M4,1,0,2,1
396,987,5,M4,1,0,2,1
418,987,5,M4,1,0,2,1
439,987,5,M4,1,0,2,1
460,987,5,M4,1,1,2,1
482,987,5,M4,1,1,2,1
504,987,5,M4,1,1,2,1
525,987,5,M4,1,1,2,2
548,987,5,M4,1,1,2,2
570,987,5,M4,1,1,2,2
592,987,5,M4,1,1,2,2
614,987,5,M4,1,1,2,2
636,987,5,M4,1,1,2,2
659,987,5,M4,1,1,2,2
681,987,5,M4,1,1,2,2
703,987,5,M4,1,1,2,2
725,987,5,M4,1,1,2,2
748,987,5,M4,1,1,2,2
769,987,5,M4,1,1,2,2
791,987,5,M4,1,1,2,2
812,987,5,M4,1,1,2,2
834,987,5,M4,1,1,2,2
857,987,5,M4,1,1,2,2
879,987,5,M4,1,1,2,2
900,987,5,M4,1,1,2,2
922,987,5,M4,1,1,2,2
943,987,5,M4,1,1,2,2
967,987,5,M4,1,1,2,2
988,987,5,M4,1,1,3,2
1010,987,5,M4,1,1,3,2
1031,987,5,M4,1,1,3,2
1053,987,5,M4,1,1,3,2
1076,987,5,M4,1,1,3,2
1096,987,5,M4,1,1,3,2
1118,987,5,M4,1,1,3,2
1138,987,5,M4,1,1,3,2
1160,987,5,M4,1,1,3,2
1183,987,5,M4,1,1,3,2
1205,987,5,M4,1,1,3,2
1227,987,5,M4,1,1,3,2
1248,987,5,M4,1,1,3,3
1271,987,5,M4,1,1,3,3
1293,987,5,M4,1,1,3,3
1315,987,5,M4,1,1,3,3
1337,987,5,M4,1,1,3,3
1359,987,5,M4,1,1,3,3
1382,987,5,M4,1,1,3,3
1404,987,5,M4,1,1,3,3
1425,987,5,M4,1,1,3,3
1447,987,5,M4,1,1,3,3
1469,987,5,M4,2,1,3,3
1492,987,5,M4,2,1,3,3
1514,987,5,M4,2,1,3,3
1536,987,5,M4,2,1,3,3
1557,987,5,M4,2,1,3,3
1579,987,5,M4,2,1,3,3
1601,987,5,M4,2,1,3,3
1623,987,5,M4,2,1,3,3
1644,987,5,M4,2,1,3,3
1665,987,5,M4,2,1,3,3
1688,987,5,M4,2,1,3,3
1709,987,5,M4,2,1,3,3
1731,987,5,M4,2,1,3,3
1753,987,5,M4,2,1,3,3
1774,987,5,M4,2,1,3,3
1797,987,5,M4,2,1,3,3
1818,987,5,M4,2,1,3,3
1840,987,5,M4,2,1,3,3
1862,987,5,M4,2,2,3,3
1883,987,5,M4,2,2,3,3
1905,987,5,M4,2,2,3,3
1927,987,5,M4,2,2,3,3
1948,987,5,M4,2,2,3,3
1969,987,5,M4,2,2,3,3
1991,987,5,M4,2,2,3,3
2014,987,5,M4,2,2,3,3
2036,987,5,M4,2,2,3,3
2058,987,5,M4,2,2,4,3
2081,987,5,M4,2,2,4,3
2104,987,5,M4,2,2,4,3
2127,987,5,M4,2,2,4,3
2149,987,5,M4,2,2,4,3
2171,987,5,M4,2,2,4,3
2192,987,5,M4,2,2,4,3
2214,987,5,M4,3,2,4,3
2235,987,5,M4,3,2,4,3
2256,987,5,M4,3,2,4,3
2277,987,5,M4,3,2,4,4
2300,987,5,M4,3,2,4,4
2323,987,5,M4,3,3,4,4
2347,987,5,M4,3,3,4,4
2371,987,5,M4,3,3,4,4
2397,987,5,M4,3,3,4,4
2421,987,5,M4,3,3,4,4
2445,987,5,M4,3,3,4,4
2468,987,5,M4,3,3,5,4
2492,987,5,M4,3,3,5,4
2516,987,5,M4,3,3,5,4
2540,987,5,M4,3,3,5,4
2562,987,5,M4,3,3,5,4
2585,987,5,M4,3,3,5,4
2608,987,5,M4,3,3,5,4
2631,987,5,M4,3,3,5,4
2655,987,5,M4,3,3,5,4
2679,987,5,M4,3,3,5,4
2701,987,5,M4,3,3,5,4
2726,987,5,M4,3,3,5,4
2750,987,5,M4,3,3,5,4
2773,987,5,M4,3,3,5,4
2797,987,5,M4,3,3,5,4
2821,987,5,M4,3,3,5,4
2844,987,5,M4,3,3,5,5
2867,987,5,M4,3,3,5,5
2890,987,5,M4,3,3,5,5
2915,987,5,M4,3,3,5,5
2939,987,5,M4,3,3,5,5
2960,987,5,M4,3,3,5,5
2983,987,5,M4,3,3,5,5
3006,987,5,M4,3,3,5,5
3030,987,5,M4,3,3,5,5
3054,987,5,M4,4,3,5,5
3077,987,5,M4,4,3,5,5
3101,987,5,M4,4,3,5,5
3128,987,5,M4,4,3,5,5
3152,987,5,M4,4,3,5,5
3175,987,5,M4,4,3,5,5
3199,987,5,M4,4,3,5,5
3223,987,5,M4,4,3,5,5
3247,987,5,M4,4,3,5,5
3270,987,5,M4,4,3,5,5
3293,987,5,M4,4,3,5,5
3315,987,5,M4,4,3,5,5
3338,987,5,M4,4,3,5,5
3363,987,5,M4,4,3,5,5
3386,987,5,M4,4,3,5,5
3410,987,5,M4,4,3,5,5
3434,987,5,M4,4,3,5,5
3458,987,5,M4,4,3,5,5
3483,987,5,M4,4,4,5,5
3507,987,5,M4,4,4,5,5
3531,987,5,M4,4,4,5,5
3555,987,5,M4,4,4,5,5
3579,987,5,M4,4,4,5,5
3603,987,5,M4,4,4,5,5
3626,987,5,M4,4,4,6,5
3650,987,5,M4,4,4,6,5
3674,987,5,M4,4,4,6,5
3697,987,5,M4,4,4,6,5
3721,987,5,M4,4,4,6,5
3745,987,5,M4,4,4,6,5
3768,987,5,M4,4,4,6,5
3791,987,5,M4,4,4,6,5
3815,987,5,M4,4,4,6,5
3838,987,5,M4,4,4,6,5
3861,987,5,M4,4,4,6,5
3884,987,5,M4,4,4,6,5
3905,987,5,M4,4,4,6,5
3928,987,5,M4,4,4,6,5
3950,987,5,M4,4,4,6,5
3971,987,5,M4,5,4,6,5
3992,987,5,M4,5,5,6,6
4014,987,5,M4,5,5,6,6
4036,987,5,M4,5,5,6,6
4057,987,5,M4,5,5,6,6
4080,987,5,M4,5,5,6,6
4102,987,5,M4,5,5,7,6
4124,987,5,M4,5,5,7,6
4147,987,5,M4,5,5,7,6
4169,987,5,M4,5,5,7,6
4191,987,5,M4,5,5,7,6
4214,987,5,M4,5,5,7,6
4235,987,5,M4,5,5,7,6
4257,987,5,M4,5,5,7,6
4279,987,5,M4,5,5,7,6
4300,987,5,M4,5,5,7,6
4322,987,5,M4,5,5,7,6
4344,987,5,M4,5,5,7,6
4365,987,5,M4,5,5,7,6
4387,987,5,M4,5,5,7,6
4409,987,5,M4,5,5,7,6
4430,987,5,M4,5,5,7,6
4453,987,5,M4,6,5,7,7
4475,987,5,M4,6,5,7,7
4496,987,5,M4,6,5,7,7
4518,987,5,M4,6,5,7,7
4541,987,5,M4,6,5,7,7
4563,987,5,M4,6,5,7,7
4585,987,5,M4,6,5,7,7
4606,987,5,M4,6,5,7,7
4628,987,5,M4,6,5,7,7
4650,987,5,M4,6,5,7,7
4672,987,5,M4,6,5,7,7
4694,987,5,M4,6,6,7,7
4716,987,5,M4,6,6,7,7
4737,987,5,M4,6,6,7,7
4759,987,5,M4,6,6,7,7
4782,987,5,M4,6,6,7,7
4804,987,5,M4,6,6,7,7
4826,987,5,M4,6,6,7,7
4848,987,5,M4,6,6,7,7
4870,987,5,M4,6,6,7,7
4893,987,5,M4,6,6,7,7
4914,987,5,M4,6,6,7,7
4936,987,5,M4,6,6,7,7
4958,987,5,M4,6,6,7,7
4980,987,5,M4,6,6,7,7
5002,987,5,M4,6,6,7,7
