LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PSG.LGD.STeven L2i,2,40.327,41.234,25.086,1:46.647
2,PSG.LGD.STeven L2i,2,36.837,41.167,25.168,1:43.172
3,PSG.LGD.STeven L2i,1,36.474,41.393,25.259,1:43.126
4,PSG.LGD.STeven L2i,1,36.760,41.296,25.481,1:43.537
5,PSG.LGD.STeven L2i,1,36.581,41.260,25.478,1:43.319
6,PSG.LGD.STeven L2i,1,36.854,41.879,25.443,1:44.176
7,PSG.LGD.STeven L2i,1,36.660,41.843,25.526,1:44.029
8,PSG.LGD.STeven L2i,1,36.990,41.857,25.410,1:44.257
9,PSG.LGD.STeven L2i,1,36.932,42.090,25.477,1:44.499
10,PSG.LGD.STeven L2i,1,36.953,41.836,25.361,1:44.150
11,PSG.LGD.STeven L2i,1,37.268,43.754,29.056,1:50.078
12,PSG.LGD.STeven L2i,1,56.549,41.237,24.458,2:02.244
13,PSG.LGD.STeven L2i,1,35.966,40.716,24.920,1:41.602
14,PSG.LGD.STeven L2i,1,36.190,40.718,25.159,1:42.067
15,PSG.LGD.STeven L2i,1,36.211,41.074,25.263,1:42.548
16,PSG.LGD.STeven L2i,1,36.259,41.167,25.384,1:42.810
17,PSG.LGD.STeven L2i,1,36.332,41.925,25.348,1:43.605
18,PSG.LGD.STeven L2i,1,36.444,41.311,25.033,1:42.788
19,PSG.LGD.STeven L2i,1,36.328,41.804,28.224,1:46.356
20,PSG.LGD.STeven L2i,1,50.646,40.592,25.191,1:56.429
21,PSG.LGD.STeven L2i,1,35.983,40.216,24.945,1:41.144
22,PSG.LGD.STeven L2i,1,35.788,40.564,24.901,1:41.253
23,PSG.LGD.STeven L2i,1,35.933,40.714,25.226,1:41.873
24,PSG.LGD.STeven L2i,1,36.067,40.710,25.137,1:41.914
25,PSG.LGD.STeven L2i,1,36.189,40.884,25.222,1:42.295
26,PSG.LGD.STeven L2i,1,36.248,41.389,25.272,1:42.909
