LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,Siesta siesta,2,25.837,23.071,29.284,1:18.192
2,Siesta siesta,2,20.090,22.665,29.236,1:11.991
3,Siesta siesta,2,20.225,22.834,29.213,1:12.272
4,Siesta siesta,3,20.492,22.913,29.874,1:13.279
5,Siesta siesta,3,20.561,23.034,29.536,1:13.131
6,Siesta siesta,3,20.605,23.085,29.358,1:13.048
7,Siesta siesta,3,20.366,23.042,29.169,1:12.577
8,Siesta siesta,10,21.037,23.269,51.004,1:35.310
9,Siesta siesta,9,20.997,22.390,29.125,1:12.512
10,Siesta siesta,9,20.024,22.387,29.152,1:11.563
11,Siesta siesta,7,20.148,22.635,29.024,1:11.807
12,Siesta siesta,6,19.733,22.402,29.115,1:11.250
13,Siesta siesta,3,20.013,22.430,29.364,1:11.807
14,Siesta siesta,3,20.038,22.549,29.268,1:11.855
15,Siesta siesta,3,20.058,22.688,29.462,1:12.208
16,Siesta siesta,3,20.153,22.640,29.384,1:12.177
17,Siesta siesta,3,20.310,22.758,29.505,1:12.573
18,Siesta siesta,3,20.118,22.484,29.458,1:12.060
19,Siesta siesta,4,20.159,22.827,29.700,1:12.686
20,Siesta siesta,4,20.115,22.780,29.097,1:11.992
21,Siesta siesta,4,20.252,22.698,29.020,1:11.970
22,Siesta siesta,4,20.246,22.570,29.403,1:12.219
23,Siesta siesta,3,20.273,22.707,29.542,1:12.522
24,Siesta siesta,2,20.307,22.619,29.304,1:12.230
25,Siesta siesta,2,20.124,22.580,29.763,1:12.467
26,Siesta siesta,2,20.403,22.786,29.490,1:12.679
27,Siesta siesta,2,20.294,23.043,29.317,1:12.654
28,Siesta siesta,2,20.230,22.798,29.758,1:12.786
29,Siesta siesta,2,20.278,22.957,29.870,1:13.105
30,Siesta siesta,3,20.960,22.910,29.248,1:13.118
31,Siesta siesta,3,20.770,22.743,29.543,1:13.056
32,Siesta siesta,3,20.287,23.012,29.562,1:12.861
33,Siesta siesta,3,20.364,23.041,29.328,1:12.733
34,Siesta siesta,3,20.558,22.824,29.577,1:12.959
35,Siesta siesta,3,20.604,22.732,29.756,1:13.092
36,Siesta siesta,2,0.000,0.000,0.000,0.009
