LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,h0,1,23.968,22.433,29.038,1:15.439
2,h0,1,19.948,22.446,29.162,1:11.556
3,h0,1,19.952,22.608,29.062,1:11.622
4,h0,1,19.977,22.529,29.152,1:11.658
5,h0,1,20.142,22.682,29.244,1:12.068
6,h0,1,20.163,22.718,29.365,1:12.246
7,h0,1,20.127,22.725,29.626,1:12.478
8,h0,1,20.180,22.778,29.385,1:12.343
9,h0,1,20.220,22.889,29.457,1:12.566
10,h0,1,20.308,22.847,29.677,1:12.832
11,h0,1,20.344,23.172,29.557,1:13.073
12,h0,1,20.473,23.012,29.633,1:13.118
13,h0,1,20.543,23.074,29.535,1:13.152
14,h0,1,20.589,23.014,45.198,1:28.801
15,h0,1,20.758,22.133,28.988,1:11.879
16,h0,1,19.860,22.345,29.113,1:11.318
17,h0,1,19.765,22.326,28.931,1:11.022
18,h0,1,19.818,22.351,29.250,1:11.419
19,h0,1,19.769,22.276,28.826,1:10.871
20,h0,1,19.770,22.462,29.042,1:11.274
21,h0,1,19.745,22.374,29.005,1:11.124
22,h0,1,19.884,22.464,29.218,1:11.566
23,h0,1,19.794,22.395,29.034,1:11.223
24,h0,1,19.889,22.341,28.986,1:11.216
25,h0,1,20.040,22.428,29.119,1:11.587
26,h0,1,19.916,22.441,29.211,1:11.568
27,h0,1,19.942,22.448,29.153,1:11.543
28,h0,1,19.978,22.477,29.133,1:11.588
29,h0,1,20.008,22.759,29.359,1:12.126
30,h0,1,20.388,22.776,29.388,1:12.552
31,h0,1,20.307,22.727,29.423,1:12.457
32,h0,1,20.216,22.919,45.033,1:28.168
33,h0,1,20.598,22.135,28.809,1:11.542
34,h0,1,19.452,21.932,28.326,1:09.710
35,h0,1,19.811,22.325,29.047,1:11.183
36,h0,1,0.000,0.000,0.000,0.007
