LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,M4,10,46.580,43.554,25.426,1:55.560
2,M4,8,37.554,43.911,24.964,1:46.429
3,M4,5,37.221,42.434,25.634,1:45.289
4,M4,5,36.941,42.429,25.397,1:44.767
5,M4,6,36.774,42.287,28.529,1:47.590
6,M4,8,51.080,41.118,25.249,1:57.447
7,M4,6,36.125,41.431,25.079,1:42.635
8,M4,6,36.955,42.966,24.845,1:44.766
9,M4,4,36.909,40.960,25.406,1:43.275
10,M4,3,36.363,41.238,25.279,1:42.880
11,M4,3,36.294,41.030,25.162,1:42.486
12,M4,3,36.413,41.405,25.408,1:43.226
13,M4,3,36.422,41.623,25.443,1:43.488
14,M4,3,36.319,41.567,25.271,1:43.157
15,M4,3,36.326,41.395,25.173,1:42.894
16,M4,3,36.389,41.422,25.329,1:43.140
17,M4,2,36.352,41.893,25.505,1:43.750
18,M4,2,36.584,41.609,28.163,1:46.356
19,M4,2,50.789,40.727,25.205,1:56.721
20,M4,2,35.672,40.393,24.985,1:41.050
21,M4,2,35.951,40.617,25.281,1:41.849
22,M4,2,35.724,41.907,25.535,1:43.166
23,M4,2,36.014,41.184,25.369,1:42.567
24,M4,2,36.121,41.400,25.275,1:42.796
25,M4,2,36.164,41.482,25.418,1:43.064
26,M4,2,36.655,42.118,25.072,1:43.845
