LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,wofa.bilibili,3,25.932,23.341,29.166,1:18.439
2,wofa.bilibili,3,20.380,22.480,29.319,1:12.179
3,wofa.bilibili,3,20.157,22.735,29.163,1:12.055
4,wofa.bilibili,2,20.446,22.905,29.402,1:12.753
5,wofa.bilibili,12,20.614,22.971,44.749,1:28.334
6,wofa.bilibili,12,21.206,22.703,28.994,1:12.903
7,wofa.bilibili,12,20.047,22.275,29.215,1:11.537
8,wofa.bilibili,8,20.247,22.677,29.288,1:12.212
9,wofa.bilibili,7,20.030,22.503,29.409,1:11.942
10,wofa.bilibili,7,19.956,23.186,29.656,1:12.798
11,wofa.bilibili,6,20.331,22.672,29.384,1:12.387
12,wofa.bilibili,3,20.108,22.581,29.459,1:12.148
13,wofa.bilibili,2,20.035,22.757,29.414,1:12.206
14,wofa.bilibili,2,20.122,22.700,29.435,1:12.257
15,wofa.bilibili,2,20.315,22.506,29.258,1:12.079
16,wofa.bilibili,2,20.150,22.997,29.399,1:12.546
17,wofa.bilibili,2,20.210,22.815,29.216,1:12.241
18,wofa.bilibili,2,20.363,22.771,29.354,1:12.488
19,wofa.bilibili,2,20.120,22.893,29.517,1:12.530
20,wofa.bilibili,2,20.158,22.740,29.443,1:12.341
21,wofa.bilibili,2,20.303,22.891,29.496,1:12.690
22,wofa.bilibili,2,20.358,22.912,29.509,1:12.779
23,wofa.bilibili,9,20.375,23.232,50.455,1:34.062
24,wofa.bilibili,9,21.121,22.403,29.239,1:12.763
25,wofa.bilibili,7,19.714,22.489,28.885,1:11.088
26,wofa.bilibili,7,19.753,22.297,29.132,1:11.182
27,wofa.bilibili,6,19.821,22.373,29.032,1:11.226
28,wofa.bilibili,6,19.759,22.269,29.116,1:11.144
29,wofa.bilibili,5,19.915,22.383,29.080,1:11.378
30,wofa.bilibili,5,19.999,22.355,29.152,1:11.506
31,wofa.bilibili,5,19.885,22.334,29.318,1:11.537
32,wofa.bilibili,5,20.183,22.292,29.300,1:11.775
33,wofa.bilibili,4,20.388,22.438,29.531,1:12.357
34,wofa.bilibili,4,20.107,22.352,29.460,1:11.919
35,wofa.bilibili,4,20.193,22.522,29.489,1:12.204
36,wofa.bilibili,8,0.000,0.000,0.000,0.009
