LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,CSGO.B.Vottas,17,0.000,0.000,0.000,0.000
1,CSGO.B.Vottas,16,23.150,33.803,20.823,1:17.776
2,CSGO.B.Vottas,14,16.648,31.313,20.617,1:08.578
3,CSGO.B.Vottas,14,16.389,30.248,21.084,1:07.721
4,CSGO.B.Vottas,12,16.300,29.865,20.459,1:06.624
5,CSGO.B.Vottas,12,16.750,29.872,20.419,1:07.041
6,CSGO.B.Vottas,11,16.711,29.669,20.524,1:06.904
7,CSGO.B.Vottas,10,16.382,29.870,20.713,1:06.965
8,CSGO.B.Vottas,9,16.487,29.926,20.583,1:06.996
9,CSGO.B.Vottas,9,16.450,29.623,20.557,1:06.630
10,CSGO.B.Vottas,9,16.446,30.217,20.714,1:07.377
11,CSGO.B.Vottas,8,16.485,29.879,20.685,1:07.049
12,CSGO.B.Vottas,8,16.506,30.515,20.661,1:07.682
13,CSGO.B.Vottas,8,16.359,30.148,20.679,1:07.186
14,CSGO.B.Vottas,7,16.488,30.115,20.788,1:07.391
15,CSGO.B.Vottas,9,16.501,30.322,23.674,1:10.497
16,CSGO.B.Vottas,13,31.329,29.406,20.145,1:20.880
17,CSGO.B.Vottas,12,16.484,29.343,20.209,1:06.036
18,CSGO.B.Vottas,12,16.594,29.418,20.112,1:06.124
19,CSGO.B.Vottas,12,16.596,29.485,20.158,1:06.239
20,CSGO.B.Vottas,10,16.593,29.507,20.470,1:06.570
21,CSGO.B.Vottas,6,16.447,29.492,20.157,1:06.096
22,CSGO.B.Vottas,3,16.441,29.511,20.320,1:06.272
23,CSGO.B.Vottas,3,16.386,30.167,20.278,1:06.831
24,CSGO.B.Vottas,2,16.410,29.813,20.250,1:06.473
25,CSGO.B.Vottas,5,16.677,29.691,23.137,1:09.505
26,CSGO.B.Vottas,13,31.338,29.237,20.107,1:20.682
27,CSGO.B.Vottas,13,16.531,29.279,19.910,1:05.720
28,CSGO.B.Vottas,13,16.556,29.246,20.015,1:05.817
29,CSGO.B.Vottas,13,16.598,29.214,19.889,1:05.701
30,CSGO.B.Vottas,13,16.507,29.329,19.968,1:05.804
31,CSGO.B.Vottas,11,16.111,29.762,20.137,1:06.010
32,CSGO.B.Vottas,11,16.455,29.372,20.027,1:05.854
33,CSGO.B.Vottas,11,16.528,29.483,19.998,1:06.009
34,CSGO.B.Vottas,14,28.863,30.551,23.322,1:22.736
35,CSGO.B.Vottas,15,31.944,29.528,19.942,1:21.414
36,CSGO.B.Vottas,15,16.317,28.855,19.642,1:04.814
37,CSGO.B.Vottas,15,0.000,0.000,0.000,0.013
