LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,CSGO.Irene,8,0.000,0.000,0.000,0.000
1,CSGO.Irene,19,25.503,30.229,20.876,1:16.608
2,CSGO.Irene,16,16.738,31.060,20.544,1:08.342
3,CSGO.Irene,16,16.513,29.863,21.311,1:07.687
4,CSGO.Irene,16,16.446,30.769,20.544,1:07.759
5,CSGO.Irene,16,16.522,29.969,20.753,1:07.244
6,CSGO.Irene,17,17.089,30.317,27.890,1:15.296
7,CSGO.Irene,16,17.143,29.762,20.635,1:07.540
8,CSGO.Irene,16,17.026,30.087,20.665,1:07.778
9,CSGO.Irene,16,17.006,29.924,20.788,1:07.718
10,CSGO.Irene,16,16.859,30.004,20.756,1:07.619
11,CSGO.Irene,16,16.763,29.911,20.583,1:07.257
12,CSGO.Irene,16,16.925,30.153,20.704,1:07.782
13,CSGO.Irene,16,16.967,29.962,23.499,1:10.428
14,CSGO.Irene,17,31.946,29.534,20.046,1:21.526
15,CSGO.Irene,16,16.714,29.418,19.902,1:06.034
16,CSGO.Irene,16,16.833,29.399,20.254,1:06.486
17,CSGO.Irene,15,16.723,29.393,20.124,1:06.240
18,CSGO.Irene,15,16.821,29.601,20.255,1:06.677
19,CSGO.Irene,15,16.865,29.544,20.295,1:06.704
20,CSGO.Irene,14,16.815,29.403,20.104,1:06.322
21,CSGO.Irene,15,16.843,30.143,20.279,1:07.265
22,CSGO.Irene,13,16.476,29.406,20.174,1:06.056
23,CSGO.Irene,13,16.496,29.362,20.193,1:06.051
24,CSGO.Irene,13,16.406,29.626,20.272,1:06.304
25,CSGO.Irene,13,16.317,29.814,20.421,1:06.552
26,CSGO.Irene,11,16.390,29.498,20.301,1:06.189
27,CSGO.Irene,12,16.358,29.820,20.409,1:06.587
28,CSGO.Irene,12,16.487,29.546,20.489,1:06.522
29,CSGO.Irene,12,16.399,30.019,20.313,1:06.731
30,CSGO.Irene,11,16.444,29.548,20.543,1:06.535
31,CSGO.Irene,11,16.767,29.747,20.458,1:06.972
32,CSGO.Irene,12,16.753,29.960,20.078,1:06.791
33,CSGO.Irene,12,16.450,29.402,20.154,1:06.006
34,CSGO.Irene,11,16.524,29.890,20.550,1:06.964
35,CSGO.Irene,11,16.807,29.899,20.608,1:07.314
36,CSGO.Irene,11,16.984,31.239,20.748,1:08.971
37,CSGO.Irene,11,0.000,0.000,0.000,0.011
