LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,CaiHong,14,31.797,24.981,31.471,1:28.249
2,CaiHong,13,21.674,23.794,30.131,1:15.599
3,CaiHong,15,21.210,23.999,40.358,1:25.567
4,CaiHong,13,21.404,23.669,29.992,1:15.065
5,CaiHong,14,21.079,23.881,30.223,1:15.183
6,CaiHong,14,21.285,23.801,29.988,1:15.074
7,CaiHong,13,21.258,23.781,29.918,1:14.957
8,CaiHong,11,21.239,24.071,30.497,1:15.807
9,CaiHong,19,21.462,24.034,52.389,1:37.885
10,CaiHong,19,21.869,23.319,29.235,1:14.423
11,CaiHong,19,20.611,23.337,29.729,1:13.677
12,CaiHong,19,20.617,23.066,29.586,1:13.269
13,CaiHong,19,20.390,23.091,29.327,1:12.808
14,CaiHong,17,20.377,24.277,29.424,1:14.078
15,CaiHong,16,21.373,23.232,28.954,1:13.559
16,CaiHong,16,20.683,23.085,29.474,1:13.242
17,CaiHong,13,21.344,23.120,29.723,1:14.187
18,CaiHong,13,20.713,23.063,29.947,1:13.723
19,CaiHong,17,26.565,31.994,53.641,1:52.200
20,CaiHong,17,22.047,23.543,30.361,1:15.951
21,CaiHong,17,23.968,23.661,29.560,1:17.189
22,CaiHong,17,20.721,23.240,29.938,1:13.899
23,CaiHong,17,21.066,23.468,29.792,1:14.326
24,CaiHong,17,20.547,22.817,29.733,1:13.097
25,CaiHong,16,20.702,23.006,29.467,1:13.175
26,CaiHong,15,20.662,23.322,29.528,1:13.512
27,CaiHong,14,20.681,23.559,30.017,1:14.257
28,CaiHong,14,20.676,24.676,29.465,1:14.817
29,CaiHong,14,21.165,23.354,29.763,1:14.282
30,CaiHong,14,21.674,24.527,30.131,1:16.332
31,CaiHong,14,20.573,23.118,29.719,1:13.410
32,CaiHong,14,20.723,23.322,29.366,1:13.411
33,CaiHong,14,20.624,23.136,29.743,1:13.503
34,CaiHong,13,20.736,24.283,30.410,1:15.429
35,CaiHong,13,0.000,0.000,0.000,0.009
