LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,Head brother,2,29.948,29.246,42.196,1:41.390,Out Lap
2,Head brother,2,23.813,29.101,42.393,1:35.307,On Track
3,Head brother,2,23.918,29.159,42.442,1:35.519,On Track
4,Head brother,1,23.992,29.231,42.223,1:35.446,On Track
5,Head brother,1,23.683,29.021,42.305,1:35.009,On Track
6,Head brother,1,23.83,29.293,42.189,1:35.312,On Track
7,Head brother,1,23.797,29.125,42.418,1:35.340,On Track
8,Head brother,2,24.56,28.919,41.897,1:35.376,On Track
9,Head brother,2,23.457,28.715,42.261,1:34.433,On Track
10,Head brother,2,23.664,29.136,42.191,1:34.991,On Track
11,Head brother,2,23.819,28.979,42.368,1:35.166,On Track
12,Head brother,2,23.819,28.976,42.145,1:34.940,On Track
13,Head brother,2,23.78,29.191,42.189,1:35.160,On Track
14,Head brother,2,23.947,29.089,42.248,1:35.284,On Track
15,Head brother,2,23.948,28.906,42.279,1:35.133,On Track
16,Head brother,2,24.052,28.903,42.161,1:35.116,On Track
17,Head brother,1,23.885,29.001,42.142,1:35.028,On Track
18,Head brother,1,23.677,29.143,42.109,1:34.929,On Track
19,Head brother,1,23.753,29.02,42.074,1:34.847,On Track
20,Head brother,1,23.869,29.123,42.197,1:35.189,On Track
21,Head brother,1,23.775,29.065,42.23,1:35.070,On Track
22,Head brother,1,23.714,28.941,41.928,1:34.583,On Track
23,Head brother,1,23.866,28.92,41.754,1:34.540,On Track
24,Head brother,1,23.757,28.947,41.915,1:34.619,On Track
25,Head brother,1,23.672,28.906,41.774,1:34.352,On Track
26,Head brother,1,23.627,28.935,42.001,1:34.563,On Track
27,Head brother,1,23.774,29.039,41.983,1:34.796,On Track
28,Head brother,1,23.743,29.065,42.164,1:34.972,On Track
29,Head brother,1,23.961,29.07,42.132,1:35.163,On Track
30,Head brother,1,23.674,28.989,01:02.0,1:54.647,In Lap
31,Head brother,1,26.76,28.547,40.894,1:36.201,Out Lap
32,Head brother,1,22.948,28.29,41.035,1:32.273,On Track
33,Head brother,1,22.953,28.5,41.121,1:32.574,On Track
34,Head brother,1,22.855,28.357,41.08,1:32.292,On Track
35,Head brother,1,23.059,28.477,41.092,1:32.628,On Track
36,Head brother,1,22.956,28.615,41.067,1:32.638,On Track
37,Head brother,1,22.998,28.501,41.174,1:32.673,On Track
38,Head brother,1,23.092,28.455,41.307,1:32.854,On Track
39,Head brother,1,23.208,28.501,41.201,1:32.910,On Track
40,Head brother,1,23.114,28.501,41.268,1:32.883,On Track
41,Head brother,1,23.176,28.605,41.185,1:32.966,On Track
42,Head brother,1,23.164,28.581,41.243,1:32.988,On Track
43,Head brother,1,23.013,28.538,41.466,1:33.017,On Track
44,Head brother,1,23.31,28.666,41.406,1:33.382,On Track
45,Head brother,1,23.222,28.66,41.244,1:33.126,On Track
46,Head brother,1,23.533,28.674,41.207,1:33.414,On Track
47,Head brother,1,23.015,28.294,40.982,1:32.291,On Track
48,Head brother,1,23.207,28.62,41.42,1:33.247,On Track
49,Head brother,1,23.262,28.716,41.489,1:33.467,On Track
50,Head brother,1,23.404,28.725,41.484,1:33.613,On Track
51,Head brother,1,23.443,28.761,41.543,1:33.747,On Track
52,Head brother,1,23.507,28.824,41.865,1:34.196,On Track
53,Head brother,1,23.182,28.377,41.511,1:33.070,On Track
