LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,Head brother,7,30.369,29.296,58.231,1:57.896,Out Lap
2,Head brother,6,26.659,28.833,41.766,1:37.258,On Track
3,Head brother,6,23.57,29.11,41.995,1:34.675,On Track
4,Head brother,4,23.615,28.66,42.153,1:34.428,On Track
5,Head brother,4,23.731,29.01,42.081,1:34.822,On Track
6,Head brother,5,23.92,29.242,42.156,1:35.318,On Track
7,Head brother,5,24.04,29.136,42.266,1:35.442,On Track
8,Head brother,5,23.704,29.371,42.484,1:35.559,On Track
9,Head brother,4,23.87,29.016,41.777,1:34.663,On Track
10,Head brother,4,23.674,28.779,42.405,1:34.858,On Track
11,Head brother,4,23.749,29.081,42.221,1:35.051,On Track
12,Head brother,4,23.603,29.09,42.408,1:35.101,On Track
13,Head brother,4,23.878,29.059,42.318,1:35.255,On Track
14,Head brother,4,23.872,29.196,42.434,1:35.502,On Track
15,Head brother,4,23.792,29.211,42.442,1:35.445,On Track
16,Head brother,3,23.828,29.22,42.374,1:35.422,On Track
17,Head brother,3,23.876,29.226,42.35,1:35.452,On Track
18,Head brother,4,23.965,29.309,01:02.3,1:55.592,In Lap
19,Head brother,4,26.36,28.798,41.678,1:36.836,Out Lap
20,Head brother,4,23.386,28.784,41.741,1:33.911,On Track
21,Head brother,4,23.411,28.775,41.534,1:33.720,On Track
22,Head brother,4,23.272,28.746,41.645,1:33.663,On Track
23,Head brother,4,23.37,28.91,41.465,1:33.745,On Track
24,Head brother,4,23.374,28.684,41.641,1:33.699,On Track
25,Head brother,4,23.262,28.807,41.518,1:33.587,On Track
26,Head brother,4,23.378,28.7,41.607,1:33.685,On Track
27,Head brother,4,23.456,28.748,41.491,1:33.695,On Track
28,Head brother,4,23.255,28.677,41.601,1:33.533,On Track
29,Head brother,4,23.313,28.664,41.873,1:33.850,On Track
30,Head brother,4,23.371,28.756,41.458,1:33.585,On Track
31,Head brother,3,23.37,28.774,41.419,1:33.563,On Track
32,Head brother,3,23.306,28.719,41.669,1:33.694,On Track
33,Head brother,3,23.49,28.6,41.633,1:33.723,On Track
34,Head brother,2,23.292,28.751,41.711,1:33.754,On Track
35,Head brother,2,23.35,28.672,41.591,1:33.613,On Track
36,Head brother,2,23.229,28.704,41.629,1:33.562,On Track
37,Head brother,2,23.229,28.704,41.629,1:33.562,On Track
38,Head brother,2,23.245,28.872,41.506,1:33.623,On Track
39,Head brother,2,23.372,28.679,41.509,1:33.560,On Track
40,Head brother,2,23.228,28.682,41.492,1:33.402,On Track
41,Head brother,2,23.33,28.881,41.533,1:33.744,On Track
42,Head brother,2,23.249,28.695,41.407,1:33.351,On Track
43,Head brother,2,23.309,28.619,41.358,1:33.286,On Track
44,Head brother,2,23.215,28.728,41.48,1:33.423,On Track
45,Head brother,2,23.31,28.716,41.405,1:33.431,On Track
46,Head brother,2,23.35,28.753,41.258,1:33.361,On Track
47,Head brother,2,23.306,28.297,41.362,1:32.965,On Track
48,Head brother,2,23.277,28.604,41.242,1:33.123,On Track
49,Head brother,3,23.153,28.769,41.173,1:33.095,On Track
50,Head brother,3,22.868,28.532,41.14,1:32.540,On Track
51,Head brother,3,23.111,28.612,41.398,1:33.121,On Track
52,Head brother,3,23.6,28.705,41.243,1:33.548,On Track
53,Head brother,3,23.23,28.539,41.274,1:33.043,On Track
