LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,JamesMay,7,29.130,23.128,29.748,1:22.006
2,JamesMay,7,20.554,23.057,29.620,1:13.231
3,JamesMay,7,20.587,22.789,29.328,1:12.704
4,JamesMay,7,21.150,23.000,30.037,1:14.187
5,JamesMay,7,20.568,23.147,29.645,1:13.360
6,JamesMay,6,21.065,23.054,29.706,1:13.825
7,JamesMay,6,20.702,23.326,29.583,1:13.611
8,JamesMay,12,20.916,35.968,46.494,1:43.378
9,JamesMay,11,21.758,22.919,29.580,1:14.257
10,JamesMay,11,20.237,22.831,29.478,1:12.546
11,JamesMay,9,20.395,22.631,29.486,1:12.512
12,JamesMay,9,20.180,22.781,29.589,1:12.550
13,JamesMay,9,20.420,23.232,29.404,1:13.056
14,JamesMay,9,20.379,23.041,29.107,1:12.527
15,JamesMay,9,20.857,23.124,29.817,1:13.798
16,JamesMay,7,20.436,22.721,29.623,1:12.780
17,JamesMay,7,20.341,22.980,29.466,1:12.787
18,JamesMay,6,20.499,22.801,29.447,1:12.747
19,JamesMay,6,20.399,23.151,29.705,1:13.255
20,JamesMay,6,20.553,22.935,29.561,1:13.049
21,JamesMay,6,20.405,22.880,29.945,1:13.230
22,JamesMay,9,20.490,23.060,44.680,1:28.230
23,JamesMay,9,21.588,22.770,29.473,1:13.831
24,JamesMay,9,20.062,22.715,29.508,1:12.285
25,JamesMay,9,20.161,23.042,29.257,1:12.460
26,JamesMay,9,20.068,22.741,29.187,1:11.996
27,JamesMay,9,20.205,22.750,29.431,1:12.386
28,JamesMay,8,20.302,23.339,29.181,1:12.822
29,JamesMay,8,20.209,22.683,29.262,1:12.154
30,JamesMay,8,20.050,22.852,29.048,1:11.950
31,JamesMay,8,20.277,22.652,29.343,1:12.272
32,JamesMay,7,20.523,22.691,29.248,1:12.462
33,JamesMay,7,20.206,22.698,29.344,1:12.248
34,JamesMay,7,20.645,22.791,29.637,1:13.073
35,JamesMay,7,20.401,22.899,29.533,1:12.833
36,JamesMay,6,0.000,0.000,0.000,0.007
