LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,Joji,3,25.769,23.154,30.268,1:19.191
2,Joji,3,20.468,23.075,29.376,1:12.919
3,Joji,3,20.534,23.116,29.370,1:13.020
4,Joji,4,20.401,23.203,30.381,1:13.985
5,Joji,3,20.889,23.050,29.430,1:13.369
6,Joji,3,20.463,23.135,29.607,1:13.205
7,Joji,3,20.458,23.055,29.785,1:13.298
8,Joji,3,20.559,23.049,29.640,1:13.248
9,Joji,2,20.822,23.181,29.880,1:13.883
10,Joji,3,20.805,23.393,31.062,1:15.260
11,Joji,3,20.726,23.257,30.024,1:14.007
12,Joji,7,20.985,23.715,52.502,1:37.202
13,Joji,7,21.504,22.930,29.391,1:13.825
14,Joji,6,20.287,22.947,29.638,1:12.872
15,Joji,5,20.189,22.849,29.541,1:12.579
16,Joji,5,20.316,22.830,29.738,1:12.884
17,Joji,6,20.311,22.872,30.227,1:13.410
18,Joji,5,20.626,22.981,29.270,1:12.877
19,Joji,5,20.266,23.017,29.503,1:12.786
20,Joji,5,20.246,22.885,29.550,1:12.681
21,Joji,5,20.310,22.913,30.157,1:13.380
22,Joji,4,20.742,22.987,29.326,1:13.055
23,Joji,4,20.659,23.126,29.818,1:13.603
24,Joji,4,20.524,22.814,30.120,1:13.458
25,Joji,5,20.827,22.822,29.587,1:13.236
26,Joji,5,20.485,23.460,29.674,1:13.619
27,Joji,5,20.444,23.140,30.046,1:13.630
28,Joji,5,20.617,23.186,30.166,1:13.969
29,Joji,5,20.781,23.111,29.627,1:13.519
30,Joji,5,20.605,23.082,30.156,1:13.843
31,Joji,5,20.658,23.153,29.535,1:13.346
32,Joji,5,20.753,23.101,29.787,1:13.641
33,Joji,5,20.824,23.121,29.739,1:13.684
34,Joji,5,20.623,23.212,30.236,1:14.071
35,Joji,5,20.546,23.408,29.789,1:13.743
36,Joji,8,0.000,0.000,0.000,0.007
