LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,LJK.Lucylsy,5,0.000,0.000,0.000,0.000
1,LJK.Lucylsy,2,19.880,30.732,20.398,1:11.010
2,LJK.Lucylsy,2,16.724,29.755,20.476,1:06.955
3,LJK.Lucylsy,2,16.393,30.204,20.493,1:07.090
4,LJK.Lucylsy,3,16.327,30.941,20.641,1:07.909
5,LJK.Lucylsy,2,16.333,29.822,20.614,1:06.769
6,LJK.Lucylsy,10,16.470,29.916,25.962,1:12.348
7,LJK.Lucylsy,17,37.409,29.451,20.380,1:27.240
8,LJK.Lucylsy,17,16.679,29.665,20.374,1:06.718
9,LJK.Lucylsy,17,16.694,29.638,20.352,1:06.684
10,LJK.Lucylsy,17,16.709,29.721,20.408,1:06.838
11,LJK.Lucylsy,17,16.831,29.747,20.430,1:07.008
12,LJK.Lucylsy,17,16.798,29.924,20.715,1:07.437
13,LJK.Lucylsy,17,16.835,29.859,20.407,1:07.101
14,LJK.Lucylsy,16,16.860,29.849,20.434,1:07.143
15,LJK.Lucylsy,15,16.731,29.687,20.399,1:06.817
16,LJK.Lucylsy,14,16.685,29.684,20.384,1:06.753
17,LJK.Lucylsy,14,16.348,29.645,20.520,1:06.513
18,LJK.Lucylsy,14,16.379,29.723,20.459,1:06.561
19,LJK.Lucylsy,14,16.817,29.890,20.414,1:07.121
20,LJK.Lucylsy,12,16.840,29.961,20.425,1:07.226
21,LJK.Lucylsy,9,16.852,29.853,20.459,1:07.164
22,LJK.Lucylsy,6,16.875,30.034,20.614,1:07.523
23,LJK.Lucylsy,7,16.740,29.885,20.483,1:07.108
24,LJK.Lucylsy,8,16.832,29.962,20.484,1:07.278
25,LJK.Lucylsy,10,16.416,29.865,23.741,1:10.022
26,LJK.Lucylsy,15,36.569,29.117,20.037,1:25.723
27,LJK.Lucylsy,15,16.364,29.034,19.813,1:05.211
28,LJK.Lucylsy,15,16.522,29.293,20.095,1:05.910
29,LJK.Lucylsy,15,16.630,29.304,20.087,1:06.021
30,LJK.Lucylsy,15,16.542,29.344,20.244,1:06.130
31,LJK.Lucylsy,15,16.648,29.387,20.139,1:06.174
32,LJK.Lucylsy,15,16.573,29.481,20.241,1:06.295
33,LJK.Lucylsy,15,16.808,29.574,20.296,1:06.678
34,LJK.Lucylsy,13,16.682,29.442,20.609,1:06.733
35,LJK.Lucylsy,13,16.513,29.480,20.220,1:06.213
36,LJK.Lucylsy,12,16.174,29.274,20.165,1:05.613
37,LJK.Lucylsy,13,0.000,0.000,0.000,0.009
