LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,LJK.Mysery:D,10,0.000,0.000,0.000,0.000
1,LJK.Mysery:D,9,20.941,31.437,20.823,1:13.201
2,LJK.Mysery:D,10,16.920,30.978,20.590,1:08.488
3,LJK.Mysery:D,10,16.600,29.805,20.334,1:06.739
4,LJK.Mysery:D,11,16.869,30.229,20.811,1:07.909
5,LJK.Mysery:D,11,16.448,30.463,20.694,1:07.605
6,LJK.Mysery:D,9,16.802,29.888,20.715,1:07.405
7,LJK.Mysery:D,7,16.444,29.812,20.482,1:06.738
8,LJK.Mysery:D,8,16.708,30.155,20.502,1:07.365
9,LJK.Mysery:D,8,16.415,29.885,20.536,1:06.836
10,LJK.Mysery:D,8,16.417,30.479,20.481,1:07.377
11,LJK.Mysery:D,13,16.365,37.535,20.762,1:14.662
12,LJK.Mysery:D,13,16.747,30.000,20.449,1:07.196
13,LJK.Mysery:D,13,16.742,29.862,20.353,1:06.957
14,LJK.Mysery:D,13,16.721,30.033,20.805,1:07.559
15,LJK.Mysery:D,11,16.635,29.786,20.406,1:06.827
16,LJK.Mysery:D,9,16.886,30.078,20.413,1:07.377
17,LJK.Mysery:D,8,16.861,30.074,20.412,1:07.347
18,LJK.Mysery:D,8,16.697,30.082,20.373,1:07.152
19,LJK.Mysery:D,7,16.757,30.119,20.558,1:07.434
20,LJK.Mysery:D,7,16.741,30.018,25.217,1:11.976
21,LJK.Mysery:D,14,32.035,29.400,19.964,1:21.399
22,LJK.Mysery:D,12,16.332,29.492,20.074,1:05.898
23,LJK.Mysery:D,11,16.567,29.218,20.072,1:05.857
24,LJK.Mysery:D,11,16.666,29.760,20.129,1:06.555
25,LJK.Mysery:D,11,16.752,29.336,19.990,1:06.078
26,LJK.Mysery:D,9,16.728,29.004,19.944,1:05.676
27,LJK.Mysery:D,9,16.446,29.459,19.980,1:05.885
28,LJK.Mysery:D,9,16.807,29.542,20.164,1:06.513
29,LJK.Mysery:D,9,16.802,29.712,20.196,1:06.710
30,LJK.Mysery:D,10,16.805,29.774,20.219,1:06.798
31,LJK.Mysery:D,10,16.434,29.776,20.167,1:06.377
32,LJK.Mysery:D,10,16.423,29.662,20.217,1:06.302
33,LJK.Mysery:D,10,16.361,29.810,20.286,1:06.457
34,LJK.Mysery:D,10,16.450,29.698,20.436,1:06.584
35,LJK.Mysery:D,9,16.374,29.594,20.196,1:06.164
36,LJK.Mysery:D,10,16.648,30.319,20.379,1:07.346
37,LJK.Mysery:D,8,0.000,0.000,0.000,0.016
