LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,LugoBox,5,27.171,22.989,30.104,1:20.264
2,LugoBox,5,20.617,23.001,30.073,1:13.691
3,LugoBox,5,20.591,23.168,29.716,1:13.475
4,LugoBox,5,20.697,23.168,29.804,1:13.669
5,LugoBox,6,20.630,23.248,30.580,1:14.458
6,LugoBox,7,21.496,23.577,30.051,1:15.124
7,LugoBox,7,20.685,23.420,29.566,1:13.671
8,LugoBox,7,20.793,23.317,30.138,1:14.248
9,LugoBox,6,21.347,23.482,30.104,1:14.933
10,LugoBox,6,20.840,23.700,30.164,1:14.704
11,LugoBox,6,20.970,23.655,30.010,1:14.635
12,LugoBox,8,21.095,24.287,45.098,1:30.480
13,LugoBox,8,22.265,24.180,29.967,1:16.412
14,LugoBox,8,20.768,23.440,29.625,1:13.833
15,LugoBox,8,20.595,23.462,29.842,1:13.899
16,LugoBox,14,21.807,23.927,50.801,1:36.535
17,LugoBox,12,22.213,23.804,29.891,1:15.908
18,LugoBox,11,20.972,23.809,29.626,1:14.407
19,LugoBox,13,23.130,24.218,51.901,1:39.249
20,LugoBox,13,21.758,22.999,29.265,1:14.022
21,LugoBox,13,20.209,22.828,29.473,1:12.510
22,LugoBox,13,20.193,23.384,29.266,1:12.843
23,LugoBox,13,20.428,22.786,28.980,1:12.194
24,LugoBox,13,20.892,22.979,29.204,1:13.075
25,LugoBox,12,21.505,23.330,29.739,1:14.574
26,LugoBox,12,20.485,23.050,29.880,1:13.415
27,LugoBox,17,22.989,24.355,0.000,1:14.345
