LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,M4,13,33.085,24.890,30.189,1:28.164
2,M4,9,20.973,23.835,29.729,1:14.537
3,M4,9,20.192,22.797,29.259,1:12.248
4,M4,9,20.341,22.849,29.646,1:12.836
5,M4,9,20.251,22.681,29.216,1:12.148
6,M4,9,20.313,22.882,29.087,1:12.282
7,M4,9,20.426,23.020,29.143,1:12.589
8,M4,6,21.631,22.844,29.415,1:13.890
9,M4,4,20.356,22.761,29.142,1:12.259
10,M4,4,20.591,23.008,29.481,1:13.080
11,M4,4,20.463,23.177,29.505,1:13.145
12,M4,5,20.406,23.024,45.268,1:28.698
13,M4,5,21.228,22.882,29.188,1:13.298
14,M4,4,20.257,22.697,28.676,1:11.630
15,M4,2,20.127,22.722,28.915,1:11.764
16,M4,2,19.994,22.775,29.215,1:11.984
17,M4,2,20.268,22.756,29.345,1:12.369
18,M4,2,20.170,22.869,29.033,1:12.072
19,M4,2,20.125,22.778,29.303,1:12.206
20,M4,2,20.406,22.742,29.252,1:12.400
21,M4,2,20.239,22.796,29.654,1:12.689
22,M4,1,20.501,23.139,29.725,1:13.365
23,M4,4,20.217,22.662,44.945,1:27.824
24,M4,5,21.313,22.559,28.864,1:12.736
25,M4,3,19.944,22.470,28.763,1:11.177
26,M4,3,19.979,22.526,28.917,1:11.422
27,M4,3,19.918,22.582,28.988,1:11.488
28,M4,2,20.204,22.527,29.549,1:12.280
29,M4,2,20.042,22.534,29.064,1:11.640
30,M4,1,20.189,22.999,28.754,1:11.942
31,M4,1,20.217,22.431,28.958,1:11.606
32,M4,1,20.209,22.796,29.289,1:12.294
33,M4,1,20.110,22.497,29.091,1:11.698
34,M4,1,20.218,22.585,29.293,1:12.096
35,M4,1,20.131,22.633,29.180,1:11.944
36,M4,1,0.000,0.000,0.000,0.007
