LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,NTR-wofa,3,20.482,30.545,20.558,1:11.585,Out Lap
2,NTR-wofa,3,16.676,29.699,20.388,1:06.763,On Track
3,NTR-wofa,3,16.344,30.024,20.549,1:06.917,On Track
4,NTR-wofa,1,16.155,30.53,20.235,1:06.920,On Track
5,NTR-wofa,1,16.732,29.736,20.34,1:06.808,On Track
6,NTR-wofa,1,16.836,29.806,20.268,1:06.910,On Track
7,NTR-wofa,1,16.61,29.829,20.303,1:06.742,On Track
8,NTR-wofa,1,16.88,29.663,20.444,1:06.987,On Track
9,NTR-wofa,1,16.76,29.695,20.544,1:06.999,On Track
10,NTR-wofa,1,16.803,29.898,20.329,1:07.030,On Track
11,NTR-wofa,1,16.741,29.79,20.541,1:07.072,On Track
12,NTR-wofa,1,16.747,29.881,20.514,1:07.142,On Track
13,NTR-wofa,1,16.804,30.002,20.45,1:07.256,On Track
14,NTR-wofa,1,16.717,30.043,20.544,1:07.304,On Track
15,NTR-wofa,1,16.697,30.044,23.325,1:10.066,In Lap
16,NTR-wofa,11,32.184,29.612,20.223,1:22.019,Out Lap
17,NTR-wofa,10,16.77,29.387,20.116,1:06.273,On Track
18,NTR-wofa,9,16.478,29.522,20.065,1:06.065,On Track
19,NTR-wofa,8,16.754,29.437,20.092,1:06.283,On Track
20,NTR-wofa,6,16.678,29.426,20.385,1:06.489,On Track
21,NTR-wofa,3,16.756,29.286,20.025,1:06.067,On Track
22,NTR-wofa,1,16.467,29.464,20.027,1:05.958,On Track
23,NTR-wofa,1,16.73,29.427,20.066,1:06.223,On Track
24,NTR-wofa,1,16.694,29.438,20.078,1:06.210,On Track
25,NTR-wofa,1,16.727,29.463,20.135,1:06.325,On Track
26,NTR-wofa,1,16.836,29.714,20.072,1:06.622,On Track
27,NTR-wofa,1,16.684,29.502,20.147,1:06.333,On Track
28,NTR-wofa,1,16.784,29.634,20.11,1:06.528,On Track
29,NTR-wofa,1,16.645,29.429,20.025,1:06.099,On Track
30,NTR-wofa,1,16.691,29.559,20.071,1:06.321,On Track
31,NTR-wofa,1,16.651,29.473,20.159,1:06.283,On Track
32,NTR-wofa,1,16.705,29.581,20.205,1:06.491,On Track
33,NTR-wofa,1,16.721,29.533,20.249,1:06.503,On Track
34,NTR-wofa,1,16.808,29.6,20.099,1:06.507,On Track
35,NTR-wofa,1,16.591,29.475,19.989,1:06.055,On Track
36,NTR-wofa,1,16.656,29.529,19.935,1:06.120,On Track
