LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,NTR-wofa,7,0.000,0.000,0.000,0.000
1,NTR-wofa,3,20.482,30.545,20.558,1:11.585
2,NTR-wofa,3,16.676,29.699,20.388,1:06.763
3,NTR-wofa,3,16.344,30.024,20.549,1:06.917
4,NTR-wofa,1,16.155,30.530,20.235,1:06.920
5,NTR-wofa,1,16.732,29.736,20.340,1:06.808
6,NTR-wofa,1,16.836,29.806,20.268,1:06.910
7,NTR-wofa,1,16.610,29.829,20.303,1:06.742
8,NTR-wofa,1,16.880,29.663,20.444,1:06.987
9,NTR-wofa,1,16.760,29.695,20.544,1:06.999
10,NTR-wofa,1,16.803,29.898,20.329,1:07.030
11,NTR-wofa,1,16.741,29.790,20.541,1:07.072
12,NTR-wofa,1,16.747,29.881,20.514,1:07.142
13,NTR-wofa,1,16.804,30.002,20.450,1:07.256
14,NTR-wofa,1,16.717,30.043,20.544,1:07.304
15,NTR-wofa,1,16.697,30.044,23.325,1:10.066
16,NTR-wofa,11,32.184,29.612,20.223,1:22.019
17,NTR-wofa,10,16.770,29.387,20.116,1:06.273
18,NTR-wofa,9,16.478,29.522,20.065,1:06.065
19,NTR-wofa,8,16.754,29.437,20.092,1:06.283
20,NTR-wofa,6,16.678,29.426,20.385,1:06.489
21,NTR-wofa,3,16.756,29.286,20.025,1:06.067
22,NTR-wofa,1,16.467,29.464,20.027,1:05.958
23,NTR-wofa,1,16.730,29.427,20.066,1:06.223
24,NTR-wofa,1,16.694,29.438,20.078,1:06.210
25,NTR-wofa,1,16.727,29.463,20.135,1:06.325
26,NTR-wofa,1,16.836,29.714,20.072,1:06.622
27,NTR-wofa,1,16.684,29.502,20.147,1:06.333
28,NTR-wofa,1,16.784,29.634,20.110,1:06.528
29,NTR-wofa,1,16.645,29.429,20.025,1:06.099
30,NTR-wofa,1,16.691,29.559,20.071,1:06.321
31,NTR-wofa,1,16.651,29.473,20.159,1:06.283
32,NTR-wofa,1,16.705,29.581,20.205,1:06.491
33,NTR-wofa,1,16.721,29.533,20.249,1:06.503
34,NTR-wofa,1,16.808,29.600,20.099,1:06.507
35,NTR-wofa,1,16.591,29.475,19.989,1:06.055
36,NTR-wofa,1,16.656,29.529,19.935,1:06.120
37,NTR-wofa,2,0.000,0.000,0.000,0.009
