LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,NTR.zbk,12,0.000,0.000,0.000,0.000
1,NTR.zbk,11,21.829,31.087,20.823,1:13.739
2,NTR.zbk,18,16.954,34.276,21.202,1:12.432
3,NTR.zbk,18,16.955,29.467,20.566,1:06.988
4,NTR.zbk,17,16.684,30.117,20.710,1:07.511
5,NTR.zbk,17,16.314,30.487,20.243,1:07.044
6,NTR.zbk,15,16.749,30.255,21.132,1:08.136
7,NTR.zbk,13,16.254,30.005,21.016,1:07.275
8,NTR.zbk,13,16.847,29.770,20.406,1:07.023
9,NTR.zbk,13,16.963,29.894,20.380,1:07.237
10,NTR.zbk,13,16.873,29.843,20.419,1:07.135
11,NTR.zbk,12,16.942,29.900,20.487,1:07.329
12,NTR.zbk,12,16.617,30.097,20.957,1:07.671
13,NTR.zbk,11,16.735,29.736,20.437,1:06.908
14,NTR.zbk,11,16.803,29.903,20.409,1:07.115
15,NTR.zbk,10,16.816,29.944,20.393,1:07.153
16,NTR.zbk,8,16.885,29.743,20.441,1:07.069
17,NTR.zbk,7,16.759,29.900,20.522,1:07.181
18,NTR.zbk,7,17.003,29.834,20.473,1:07.310
19,NTR.zbk,5,16.753,29.896,20.636,1:07.285
20,NTR.zbk,4,16.461,29.997,20.405,1:06.863
21,NTR.zbk,3,16.683,29.842,23.516,1:10.041
22,NTR.zbk,10,31.928,29.229,19.976,1:21.133
23,NTR.zbk,10,16.741,29.214,19.965,1:05.920
24,NTR.zbk,10,16.638,29.120,20.042,1:05.800
25,NTR.zbk,9,16.611,29.187,20.813,1:06.611
26,NTR.zbk,7,16.093,29.226,19.881,1:05.200
27,NTR.zbk,7,16.317,29.821,20.143,1:06.281
28,NTR.zbk,6,16.344,29.291,19.880,1:05.515
29,NTR.zbk,6,16.453,29.233,19.892,1:05.578
30,NTR.zbk,6,16.516,29.321,20.058,1:05.895
31,NTR.zbk,6,16.686,29.545,20.090,1:06.321
32,NTR.zbk,6,16.676,29.342,20.110,1:06.128
33,NTR.zbk,6,16.689,29.390,20.103,1:06.182
34,NTR.zbk,6,16.775,29.437,20.063,1:06.275
35,NTR.zbk,6,16.427,29.565,19.901,1:05.893
36,NTR.zbk,6,16.219,29.472,20.243,1:05.934
37,NTR.zbk,6,0.000,0.000,0.000,0.008
