LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,Otaku-chicken,6,27.861,23.206,29.811,1:20.878
2,Otaku-chicken,6,20.692,23.072,29.578,1:13.342
3,Otaku-chicken,6,20.859,23.052,29.577,1:13.488
4,Otaku-chicken,6,20.756,23.157,29.768,1:13.681
5,Otaku-chicken,5,20.868,23.040,29.500,1:13.408
6,Otaku-chicken,5,20.731,23.075,30.045,1:13.851
7,Otaku-chicken,5,20.701,23.303,30.019,1:14.023
8,Otaku-chicken,5,20.813,23.217,30.528,1:14.558
9,Otaku-chicken,5,20.795,23.312,30.443,1:14.550
10,Otaku-chicken,5,20.825,23.558,29.984,1:14.367
11,Otaku-chicken,5,20.977,23.479,29.940,1:14.396
12,Otaku-chicken,2,21.018,23.568,30.111,1:14.697
13,Otaku-chicken,6,21.002,23.620,45.476,1:30.098
14,Otaku-chicken,7,21.695,23.195,29.420,1:14.310
15,Otaku-chicken,6,20.635,23.125,29.570,1:13.330
16,Otaku-chicken,6,20.317,22.919,29.404,1:12.640
17,Otaku-chicken,5,20.215,22.843,29.123,1:12.181
18,Otaku-chicken,8,20.239,22.750,36.720,1:19.709
19,Otaku-chicken,8,20.432,22.954,29.337,1:12.723
20,Otaku-chicken,8,20.887,22.931,29.423,1:13.241
21,Otaku-chicken,8,20.579,22.994,29.485,1:13.058
22,Otaku-chicken,7,20.540,23.098,29.692,1:13.330
23,Otaku-chicken,7,20.908,22.977,30.867,1:14.752
24,Otaku-chicken,7,20.457,22.964,30.176,1:13.597
25,Otaku-chicken,7,20.832,23.051,30.009,1:13.892
26,Otaku-chicken,7,20.822,23.241,29.768,1:13.831
27,Otaku-chicken,7,20.626,23.098,31.587,1:15.311
28,Otaku-chicken,7,20.661,23.106,30.107,1:13.874
29,Otaku-chicken,7,20.588,22.990,29.752,1:13.330
30,Otaku-chicken,7,20.781,22.993,29.853,1:13.627
31,Otaku-chicken,7,20.735,23.060,29.874,1:13.669
32,Otaku-chicken,8,21.290,23.278,29.558,1:14.126
33,Otaku-chicken,8,20.678,23.064,29.595,1:13.337
34,Otaku-chicken,8,20.449,23.240,29.826,1:13.515
35,Otaku-chicken,8,21.024,23.455,30.088,1:14.567
36,Otaku-chicken,7,0.000,0.000,0.000,0.008
