LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PERSTAPPEN,17,41.278,23.482,29.989,1:34.749
2,PERSTAPPEN,16,20.748,23.358,29.458,1:13.564
3,PERSTAPPEN,14,20.729,23.210,29.766,1:13.705
4,PERSTAPPEN,12,20.710,23.450,29.736,1:13.896
5,PERSTAPPEN,12,20.489,23.180,29.385,1:13.054
6,PERSTAPPEN,12,20.616,23.584,30.033,1:14.233
7,PERSTAPPEN,12,20.678,23.317,29.871,1:13.866
8,PERSTAPPEN,10,20.777,23.785,30.251,1:14.813
9,PERSTAPPEN,10,20.697,23.512,30.028,1:14.237
10,PERSTAPPEN,9,20.980,23.863,31.050,1:15.893
11,PERSTAPPEN,13,20.942,23.597,51.004,1:35.543
12,PERSTAPPEN,13,22.609,23.421,29.622,1:15.652
13,PERSTAPPEN,12,20.670,23.499,29.931,1:14.100
14,PERSTAPPEN,12,20.492,23.056,29.710,1:13.258
15,PERSTAPPEN,12,20.477,23.255,29.719,1:13.451
16,PERSTAPPEN,10,20.540,23.163,29.643,1:13.346
17,PERSTAPPEN,10,20.499,23.224,29.890,1:13.613
18,PERSTAPPEN,10,20.863,23.551,30.016,1:14.430
19,PERSTAPPEN,10,20.652,24.015,29.945,1:14.612
20,PERSTAPPEN,10,20.687,23.313,29.688,1:13.688
21,PERSTAPPEN,10,20.610,23.341,29.937,1:13.888
22,PERSTAPPEN,10,20.461,23.308,29.911,1:13.680
23,PERSTAPPEN,10,20.596,23.500,29.936,1:14.032
24,PERSTAPPEN,10,20.615,23.529,30.175,1:14.319
25,PERSTAPPEN,10,20.807,23.429,30.065,1:14.301
26,PERSTAPPEN,10,20.606,23.383,30.014,1:14.003
27,PERSTAPPEN,10,20.657,23.340,29.887,1:13.884
28,PERSTAPPEN,10,20.747,23.295,29.677,1:13.719
29,PERSTAPPEN,10,20.492,23.341,29.963,1:13.796
30,PERSTAPPEN,10,20.619,23.162,29.582,1:13.363
31,PERSTAPPEN,10,20.586,23.090,29.565,1:13.241
32,PERSTAPPEN,10,20.574,23.207,29.691,1:13.472
33,PERSTAPPEN,10,20.632,23.315,29.860,1:13.807
34,PERSTAPPEN,10,20.612,23.214,29.803,1:13.629
35,PERSTAPPEN,10,20.729,23.129,29.676,1:13.534
