LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PR.LINGJ,19,0.000,0.000,0.000,0.000
1,PR.LINGJ,18,23.280,32.132,20.757,1:16.169
2,PR.LINGJ,17,16.816,31.665,21.153,1:09.634
3,PR.LINGJ,17,16.537,29.763,20.725,1:07.025
4,PR.LINGJ,18,17.299,30.427,20.673,1:08.399
5,PR.LINGJ,18,16.648,30.288,20.628,1:07.564
6,PR.LINGJ,16,16.722,30.007,21.143,1:07.872
7,PR.LINGJ,15,16.384,30.431,20.656,1:07.471
8,PR.LINGJ,15,16.835,30.046,20.850,1:07.731
9,PR.LINGJ,15,16.610,30.147,20.867,1:07.624
10,PR.LINGJ,14,16.692,30.198,20.884,1:07.774
11,PR.LINGJ,15,16.935,31.178,20.892,1:09.005
12,PR.LINGJ,15,16.720,30.457,21.135,1:08.312
13,PR.LINGJ,15,16.781,30.399,20.972,1:08.152
14,PR.LINGJ,15,16.818,30.667,21.177,1:08.662
15,PR.LINGJ,19,16.717,31.501,0.000,50.029
