LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PR.MarkDudek,1,0.000,0.000,0.000,0.000
1,PR.MarkDudek,4,19.532,31.282,20.909,1:11.723
2,PR.MarkDudek,4,16.685,29.958,20.667,1:07.310
3,PR.MarkDudek,4,16.572,29.982,20.740,1:07.294
4,PR.MarkDudek,7,16.941,30.492,21.417,1:08.850
5,PR.MarkDudek,6,16.444,30.043,20.857,1:07.344
6,PR.MarkDudek,8,17.030,30.787,20.835,1:08.652
7,PR.MarkDudek,9,16.701,30.253,20.803,1:07.757
8,PR.MarkDudek,10,16.609,30.362,20.865,1:07.836
9,PR.MarkDudek,11,16.764,30.147,20.941,1:07.852
10,PR.MarkDudek,12,17.071,30.405,20.717,1:08.193
11,PR.MarkDudek,11,16.547,30.938,20.849,1:08.334
12,PR.MarkDudek,11,17.019,30.039,20.970,1:08.028
13,PR.MarkDudek,12,17.336,30.075,20.985,1:08.396
14,PR.MarkDudek,12,16.962,30.138,20.927,1:08.027
15,PR.MarkDudek,12,17.054,30.616,20.929,1:08.599
16,PR.MarkDudek,10,16.960,30.340,21.037,1:08.337
17,PR.MarkDudek,9,16.984,30.236,20.938,1:08.158
18,PR.MarkDudek,10,17.091,30.115,21.056,1:08.262
19,PR.MarkDudek,10,17.122,30.453,20.872,1:08.447
20,PR.MarkDudek,9,16.976,30.448,20.898,1:08.322
21,PR.MarkDudek,10,16.868,30.362,24.586,1:11.816
22,PR.MarkDudek,15,31.275,29.444,20.248,1:20.967
23,PR.MarkDudek,15,16.504,29.210,20.319,1:06.033
24,PR.MarkDudek,15,16.664,29.447,20.403,1:06.514
25,PR.MarkDudek,15,16.766,29.468,20.349,1:06.583
26,PR.MarkDudek,14,16.657,29.682,20.528,1:06.867
27,PR.MarkDudek,14,16.716,29.685,20.651,1:07.052
28,PR.MarkDudek,14,16.704,29.596,20.405,1:06.705
29,PR.MarkDudek,14,16.796,29.844,20.459,1:07.099
30,PR.MarkDudek,14,16.885,29.782,20.559,1:07.226
31,PR.MarkDudek,14,16.729,29.544,20.558,1:06.831
32,PR.MarkDudek,14,16.697,29.775,20.504,1:06.976
33,PR.MarkDudek,14,16.785,29.702,20.605,1:07.092
34,PR.MarkDudek,12,16.803,30.062,20.705,1:07.570
35,PR.MarkDudek,12,16.914,30.012,20.512,1:07.438
36,PR.MarkDudek,13,16.672,30.004,20.474,1:07.150
37,PR.MarkDudek,12,0.000,0.000,0.000,0.010
