LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PSG.LGD.Siesta,15,0.000,0.000,0.000,0.000
1,PSG.LGD.Siesta,12,22.026,31.076,20.855,1:13.957
2,PSG.LGD.Siesta,11,16.912,30.632,20.543,1:08.087
3,PSG.LGD.Siesta,11,16.611,29.742,20.478,1:06.831
4,PSG.LGD.Siesta,10,16.338,30.024,20.945,1:07.307
5,PSG.LGD.Siesta,10,16.346,30.511,20.778,1:07.635
6,PSG.LGD.Siesta,10,17.633,29.618,20.567,1:07.818
7,PSG.LGD.Siesta,8,16.451,29.807,20.442,1:06.700
8,PSG.LGD.Siesta,7,16.388,29.927,20.528,1:06.843
9,PSG.LGD.Siesta,7,16.421,29.817,20.583,1:06.821
10,PSG.LGD.Siesta,7,16.510,30.312,20.492,1:07.314
11,PSG.LGD.Siesta,6,16.276,30.532,20.500,1:07.308
12,PSG.LGD.Siesta,6,16.639,30.333,20.492,1:07.464
13,PSG.LGD.Siesta,5,16.428,29.641,20.283,1:06.352
14,PSG.LGD.Siesta,4,16.763,29.802,20.831,1:07.396
15,PSG.LGD.Siesta,4,16.665,29.886,20.329,1:06.880
16,PSG.LGD.Siesta,2,16.560,29.970,20.896,1:07.426
17,PSG.LGD.Siesta,1,16.988,29.895,20.508,1:07.391
18,PSG.LGD.Siesta,1,16.877,30.083,20.507,1:07.467
19,PSG.LGD.Siesta,1,16.941,30.121,20.543,1:07.605
20,PSG.LGD.Siesta,3,16.815,29.882,23.328,1:10.025
21,PSG.LGD.Siesta,8,31.371,28.980,19.926,1:20.277
22,PSG.LGD.Siesta,5,16.337,29.234,20.024,1:05.595
23,PSG.LGD.Siesta,5,16.590,29.231,19.916,1:05.737
24,PSG.LGD.Siesta,5,16.229,30.055,20.247,1:06.531
25,PSG.LGD.Siesta,2,16.160,29.441,20.447,1:06.048
26,PSG.LGD.Siesta,2,16.621,29.230,20.048,1:05.899
27,PSG.LGD.Siesta,2,16.738,29.495,20.144,1:06.377
28,PSG.LGD.Siesta,2,16.813,29.520,20.221,1:06.554
29,PSG.LGD.Siesta,2,16.747,29.464,20.151,1:06.362
30,PSG.LGD.Siesta,2,16.603,29.345,20.158,1:06.106
31,PSG.LGD.Siesta,2,16.801,29.594,20.218,1:06.613
32,PSG.LGD.Siesta,2,16.604,29.535,20.211,1:06.350
33,PSG.LGD.Siesta,2,16.793,29.683,20.258,1:06.734
34,PSG.LGD.Siesta,2,16.958,29.554,20.233,1:06.745
35,PSG.LGD.Siesta,2,16.653,29.670,20.138,1:06.461
36,PSG.LGD.Siesta,2,16.592,29.669,20.344,1:06.605
37,PSG.LGD.Siesta,1,0.000,0.000,0.000,0.011
