LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,RSG.Head brother,13,0.000,0.000,0.000,0.000
1,RSG.Head brother,15,22.597,31.663,20.704,1:14.964
2,RSG.Head brother,13,16.846,30.889,20.688,1:08.423
3,RSG.Head brother,13,16.540,30.247,21.234,1:08.021
4,RSG.Head brother,13,16.477,30.200,20.684,1:07.361
5,RSG.Head brother,13,16.492,29.973,20.469,1:06.934
6,RSG.Head brother,12,16.476,29.972,20.515,1:06.963
7,RSG.Head brother,11,16.543,29.883,20.579,1:07.005
8,RSG.Head brother,11,16.445,30.173,20.768,1:07.386
9,RSG.Head brother,10,16.327,29.564,20.447,1:06.338
10,RSG.Head brother,10,16.447,29.893,20.813,1:07.153
11,RSG.Head brother,9,16.531,29.979,20.580,1:07.090
12,RSG.Head brother,9,16.475,30.350,20.892,1:07.717
13,RSG.Head brother,9,16.495,29.842,20.715,1:07.052
14,RSG.Head brother,9,16.339,30.241,20.683,1:07.263
15,RSG.Head brother,7,16.332,29.849,20.567,1:06.748
16,RSG.Head brother,5,16.551,29.864,20.624,1:07.039
17,RSG.Head brother,5,16.501,30.376,20.975,1:07.852
18,RSG.Head brother,4,16.620,29.805,20.614,1:07.039
19,RSG.Head brother,3,16.534,29.980,20.532,1:07.046
20,RSG.Head brother,3,16.461,30.057,20.577,1:07.095
21,RSG.Head brother,6,16.354,30.644,32.482,1:19.480
22,RSG.Head brother,14,31.701,29.956,20.097,1:21.754
23,RSG.Head brother,14,16.568,29.038,20.027,1:05.633
24,RSG.Head brother,14,16.546,29.224,20.064,1:05.834
25,RSG.Head brother,14,16.264,29.443,20.678,1:06.385
26,RSG.Head brother,12,16.174,29.637,20.201,1:06.012
27,RSG.Head brother,11,16.067,29.335,20.168,1:05.570
28,RSG.Head brother,10,16.453,29.145,20.083,1:05.681
29,RSG.Head brother,10,16.404,29.543,20.218,1:06.165
30,RSG.Head brother,9,16.333,29.387,20.225,1:05.945
31,RSG.Head brother,9,16.750,29.402,20.129,1:06.281
32,RSG.Head brother,9,16.727,29.447,20.147,1:06.321
33,RSG.Head brother,9,16.694,29.531,20.342,1:06.567
34,RSG.Head brother,9,16.605,29.530,20.418,1:06.553
35,RSG.Head brother,10,16.711,30.038,20.276,1:07.025
36,RSG.Head brother,9,16.319,29.752,20.262,1:06.333
37,RSG.Head brother,9,0.000,0.000,0.000,0.014
