LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,RSG.M4,18,0.000,0.000,0.000,0.000
1,RSG.M4,17,22.726,31.916,20.910,1:15.552
2,RSG.M4,15,16.634,31.643,20.257,1:08.534
3,RSG.M4,15,16.407,30.304,21.064,1:07.775
4,RSG.M4,15,16.298,30.960,20.566,1:07.824
5,RSG.M4,14,16.579,30.052,20.575,1:07.206
6,RSG.M4,13,16.934,29.989,20.310,1:07.233
7,RSG.M4,12,16.819,29.919,20.333,1:07.071
8,RSG.M4,12,16.736,30.015,20.294,1:07.045
9,RSG.M4,12,16.858,29.745,20.365,1:06.968
10,RSG.M4,11,16.389,29.907,20.423,1:06.719
11,RSG.M4,10,16.868,29.920,20.226,1:07.014
12,RSG.M4,10,16.889,30.059,20.440,1:07.388
13,RSG.M4,10,16.838,29.829,20.319,1:06.986
14,RSG.M4,10,16.897,30.131,20.381,1:07.409
15,RSG.M4,8,16.769,30.099,20.405,1:07.273
16,RSG.M4,7,16.674,30.252,20.485,1:07.411
17,RSG.M4,6,16.836,29.919,20.441,1:07.196
18,RSG.M4,6,16.576,30.190,20.565,1:07.331
19,RSG.M4,4,16.495,30.027,20.475,1:06.997
20,RSG.M4,5,16.871,30.004,23.677,1:10.552
21,RSG.M4,12,31.808,29.356,20.024,1:21.188
22,RSG.M4,9,16.406,29.455,20.133,1:05.994
23,RSG.M4,9,16.894,29.401,20.373,1:06.668
24,RSG.M4,9,16.437,30.053,20.474,1:06.964
25,RSG.M4,8,16.470,29.813,20.787,1:07.070
26,RSG.M4,8,16.368,29.951,20.162,1:06.481
27,RSG.M4,8,16.419,29.565,20.056,1:06.040
28,RSG.M4,8,16.317,29.453,20.085,1:05.855
29,RSG.M4,8,16.328,29.500,20.292,1:06.120
30,RSG.M4,8,16.356,29.730,20.232,1:06.318
31,RSG.M4,7,16.357,29.499,19.995,1:05.851
32,RSG.M4,7,16.552,29.659,20.095,1:06.306
33,RSG.M4,7,16.623,29.860,20.159,1:06.642
34,RSG.M4,7,16.614,29.731,20.186,1:06.531
35,RSG.M4,7,16.501,29.738,20.066,1:06.305
36,RSG.M4,7,16.584,29.802,20.190,1:06.576
37,RSG.M4,7,0.000,0.000,0.000,0.007
