LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SDR.Livistar,4,0.000,0.000,0.000,0.000
1,SDR.Livistar,7,20.716,31.119,20.883,1:12.718
2,SDR.Livistar,7,16.596,30.611,20.503,1:07.710
3,SDR.Livistar,7,16.315,29.816,20.540,1:06.671
4,SDR.Livistar,8,17.143,30.680,20.630,1:08.453
5,SDR.Livistar,9,16.890,30.348,20.756,1:07.994
6,SDR.Livistar,19,51.836,33.060,24.108,1:49.004
7,SDR.Livistar,19,33.473,30.039,20.478,1:23.990
8,SDR.Livistar,19,16.757,30.072,20.476,1:07.305
9,SDR.Livistar,19,16.864,30.052,20.499,1:07.415
10,SDR.Livistar,19,16.978,30.021,20.471,1:07.470
11,SDR.Livistar,19,16.648,30.037,20.513,1:07.198
12,SDR.Livistar,19,16.777,30.214,20.631,1:07.622
13,SDR.Livistar,19,16.816,30.118,20.500,1:07.434
14,SDR.Livistar,19,16.721,30.226,20.564,1:07.511
15,SDR.Livistar,18,16.690,30.061,20.432,1:07.183
16,SDR.Livistar,18,16.894,30.197,20.387,1:07.478
17,SDR.Livistar,18,16.784,30.211,20.390,1:07.385
18,SDR.Livistar,18,16.735,30.119,20.445,1:07.299
19,SDR.Livistar,18,16.757,30.165,20.580,1:07.502
20,SDR.Livistar,18,16.764,30.102,20.418,1:07.284
21,SDR.Livistar,17,16.944,30.315,20.664,1:07.923
22,SDR.Livistar,17,16.915,30.050,20.499,1:07.464
23,SDR.Livistar,17,16.766,29.941,20.482,1:07.189
24,SDR.Livistar,17,16.855,30.159,20.571,1:07.585
25,SDR.Livistar,17,16.811,30.249,20.425,1:07.485
26,SDR.Livistar,16,16.825,29.998,20.448,1:07.271
27,SDR.Livistar,17,26.244,31.222,24.825,1:22.291
28,SDR.Livistar,17,38.298,29.183,20.018,1:27.499
29,SDR.Livistar,17,16.431,29.208,19.773,1:05.412
30,SDR.Livistar,17,16.308,29.155,19.784,1:05.247
31,SDR.Livistar,17,16.508,29.312,19.818,1:05.638
32,SDR.Livistar,17,16.869,29.432,20.043,1:06.344
33,SDR.Livistar,17,16.680,29.477,20.061,1:06.218
34,SDR.Livistar,17,16.513,29.425,20.030,1:05.968
35,SDR.Livistar,17,16.708,29.905,20.198,1:06.811
36,SDR.Livistar,17,0.000,0.000,0.000,0.009
