LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SDR.Meat_Lu,2,0.000,0.000,0.000,0.000
1,SDR.Meat_Lu,1,19.426,30.180,20.444,1:10.050
2,SDR.Meat_Lu,1,16.677,30.107,20.440,1:07.224
3,SDR.Meat_Lu,1,16.738,29.913,20.370,1:07.021
4,SDR.Meat_Lu,2,16.847,30.913,20.664,1:08.424
5,SDR.Meat_Lu,3,16.541,30.326,20.488,1:07.355
6,SDR.Meat_Lu,2,16.409,30.037,20.665,1:07.111
7,SDR.Meat_Lu,3,16.847,30.033,20.452,1:07.332
8,SDR.Meat_Lu,2,16.453,29.975,20.681,1:07.109
9,SDR.Meat_Lu,4,16.879,30.589,20.622,1:08.090
10,SDR.Meat_Lu,4,16.408,30.247,20.491,1:07.146
11,SDR.Meat_Lu,4,16.493,30.505,20.550,1:07.548
12,SDR.Meat_Lu,4,16.491,30.274,20.651,1:07.416
13,SDR.Meat_Lu,4,16.430,30.648,20.739,1:07.817
14,SDR.Meat_Lu,3,16.365,30.064,20.534,1:06.963
15,SDR.Meat_Lu,3,16.539,30.008,20.647,1:07.194
16,SDR.Meat_Lu,6,16.258,30.266,25.079,1:11.603
17,SDR.Meat_Lu,13,31.692,29.929,20.186,1:21.807
18,SDR.Meat_Lu,13,16.592,29.587,20.148,1:06.327
19,SDR.Meat_Lu,13,16.432,29.560,20.188,1:06.180
20,SDR.Meat_Lu,11,16.306,29.817,20.333,1:06.456
21,SDR.Meat_Lu,7,16.390,29.802,20.399,1:06.591
22,SDR.Meat_Lu,4,16.187,29.643,20.227,1:06.057
23,SDR.Meat_Lu,4,16.263,29.922,20.602,1:06.787
24,SDR.Meat_Lu,4,16.242,30.276,20.325,1:06.843
25,SDR.Meat_Lu,5,16.452,30.047,20.579,1:07.078
26,SDR.Meat_Lu,4,16.375,29.879,20.358,1:06.612
27,SDR.Meat_Lu,4,16.259,29.687,20.318,1:06.264
28,SDR.Meat_Lu,4,16.270,29.647,20.274,1:06.191
29,SDR.Meat_Lu,4,16.322,29.842,20.297,1:06.461
30,SDR.Meat_Lu,4,16.291,29.918,20.271,1:06.480
31,SDR.Meat_Lu,4,16.197,29.934,20.269,1:06.400
32,SDR.Meat_Lu,4,16.313,29.837,20.304,1:06.454
33,SDR.Meat_Lu,4,16.326,29.853,20.615,1:06.794
34,SDR.Meat_Lu,4,16.375,30.047,20.282,1:06.704
35,SDR.Meat_Lu,4,16.213,29.704,20.205,1:06.122
36,SDR.Meat_Lu,4,16.215,29.926,20.507,1:06.648
37,SDR.Meat_Lu,4,0.000,0.000,0.000,0.007
