LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,SDT.Jer.KK,8,20.412,31.689,20.893,1:12.994,Out Lap
2,SDT.Jer.KK,8,16.985,30.262,20.509,1:07.756,On Track
3,SDT.Jer.KK,8,16.678,29.653,20.509,1:06.840,On Track
4,SDT.Jer.KK,9,17.344,30.126,20.677,1:08.147,On Track
5,SDT.Jer.KK,8,16.485,30.178,20.746,1:07.409,On Track
6,SDT.Jer.KK,7,16.635,30.192,20.549,1:07.376,On Track
7,SDT.Jer.KK,6,16.407,30.145,20.536,1:07.088,On Track
8,SDT.Jer.KK,5,16.381,29.784,20.238,1:06.403,On Track
9,SDT.Jer.KK,5,16.763,29.969,20.289,1:07.021,On Track
10,SDT.Jer.KK,6,16.829,30.619,20.572,1:08.020,On Track
11,SDT.Jer.KK,7,16.507,30.731,20.767,1:08.005,On Track
12,SDT.Jer.KK,7,16.487,30.327,20.657,1:07.471,On Track
13,SDT.Jer.KK,7,16.599,30.025,20.514,1:07.138,On Track
14,SDT.Jer.KK,6,16.567,29.93,20.574,1:07.071,On Track
15,SDT.Jer.KK,6,16.669,30.002,20.499,1:07.170,On Track
16,SDT.Jer.KK,4,16.538,30.011,20.737,1:07.286,On Track
17,SDT.Jer.KK,3,16.395,30.216,20.6,1:07.211,On Track
18,SDT.Jer.KK,3,16.565,30.264,20.693,1:07.522,On Track
19,SDT.Jer.KK,2,16.611,29.871,20.574,1:07.056,On Track
20,SDT.Jer.KK,1,16.586,30.003,20.562,1:07.151,On Track
21,SDT.Jer.KK,1,16.744,30.262,23.461,1:10.467,In Lap
22,SDT.Jer.KK,7,31.735,29.289,20.482,1:21.506,Out Lap
23,SDT.Jer.KK,6,16.332,29.2,20.078,1:05.610,On Track
24,SDT.Jer.KK,6,16.675,29.373,20.065,1:06.113,On Track
25,SDT.Jer.KK,6,16.796,29.166,19.908,1:05.870,On Track
26,SDT.Jer.KK,5,16.604,29.44,19.972,1:06.016,On Track
27,SDT.Jer.KK,5,16.703,29.273,20.121,1:06.097,On Track
28,SDT.Jer.KK,5,16.78,29.325,19.982,1:06.087,On Track
29,SDT.Jer.KK,5,16.769,29.519,20.025,1:06.313,On Track
30,SDT.Jer.KK,5,16.742,29.45,20.032,1:06.224,On Track
31,SDT.Jer.KK,5,16.394,29.331,20.241,1:05.966,On Track
32,SDT.Jer.KK,5,16.383,30.053,20.25,1:06.686,On Track
33,SDT.Jer.KK,5,16.43,29.551,20.441,1:06.422,On Track
34,SDT.Jer.KK,5,16.471,30.427,20.055,1:06.953,On Track
35,SDT.Jer.KK,5,16.236,29.424,20.264,1:05.924,On Track
36,SDT.Jer.KK,5,16.174,29.893,20.462,1:06.529,On Track
