LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SDT.Jer.KK,6,0.000,0.000,0.000,0.000
1,SDT.Jer.KK,8,20.412,31.689,20.893,1:12.994
2,SDT.Jer.KK,8,16.985,30.262,20.509,1:07.756
3,SDT.Jer.KK,8,16.678,29.653,20.509,1:06.840
4,SDT.Jer.KK,9,17.344,30.126,20.677,1:08.147
5,SDT.Jer.KK,8,16.485,30.178,20.746,1:07.409
6,SDT.Jer.KK,7,16.635,30.192,20.549,1:07.376
7,SDT.Jer.KK,6,16.407,30.145,20.536,1:07.088
8,SDT.Jer.KK,5,16.381,29.784,20.238,1:06.403
9,SDT.Jer.KK,5,16.763,29.969,20.289,1:07.021
10,SDT.Jer.KK,6,16.829,30.619,20.572,1:08.020
11,SDT.Jer.KK,7,16.507,30.731,20.767,1:08.005
12,SDT.Jer.KK,7,16.487,30.327,20.657,1:07.471
13,SDT.Jer.KK,7,16.599,30.025,20.514,1:07.138
14,SDT.Jer.KK,6,16.567,29.930,20.574,1:07.071
15,SDT.Jer.KK,6,16.669,30.002,20.499,1:07.170
16,SDT.Jer.KK,4,16.538,30.011,20.737,1:07.286
17,SDT.Jer.KK,3,16.395,30.216,20.600,1:07.211
18,SDT.Jer.KK,3,16.565,30.264,20.693,1:07.522
19,SDT.Jer.KK,2,16.611,29.871,20.574,1:07.056
20,SDT.Jer.KK,1,16.586,30.003,20.562,1:07.151
21,SDT.Jer.KK,1,16.744,30.262,23.461,1:10.467
22,SDT.Jer.KK,7,31.735,29.289,20.482,1:21.506
23,SDT.Jer.KK,6,16.332,29.200,20.078,1:05.610
24,SDT.Jer.KK,6,16.675,29.373,20.065,1:06.113
25,SDT.Jer.KK,6,16.796,29.166,19.908,1:05.870
26,SDT.Jer.KK,5,16.604,29.440,19.972,1:06.016
27,SDT.Jer.KK,5,16.703,29.273,20.121,1:06.097
28,SDT.Jer.KK,5,16.780,29.325,19.982,1:06.087
29,SDT.Jer.KK,5,16.769,29.519,20.025,1:06.313
30,SDT.Jer.KK,5,16.742,29.450,20.032,1:06.224
31,SDT.Jer.KK,5,16.394,29.331,20.241,1:05.966
32,SDT.Jer.KK,5,16.383,30.053,20.250,1:06.686
33,SDT.Jer.KK,5,16.430,29.551,20.441,1:06.422
34,SDT.Jer.KK,5,16.471,30.427,20.055,1:06.953
35,SDT.Jer.KK,5,16.236,29.424,20.264,1:05.924
36,SDT.Jer.KK,5,16.174,29.893,20.462,1:06.529
37,SDT.Jer.KK,5,0.000,0.000,0.000,0.007
