LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SDT.yueye,9,0.000,0.000,0.000,0.000
1,SDT.yueye,6,20.752,30.670,21.076,1:12.498
2,SDT.yueye,6,16.633,30.428,20.293,1:07.354
3,SDT.yueye,6,16.623,29.756,20.717,1:07.096
4,SDT.yueye,5,16.422,30.229,20.438,1:07.089
5,SDT.yueye,5,16.538,29.867,20.535,1:06.940
6,SDT.yueye,4,16.501,29.890,20.655,1:07.046
7,SDT.yueye,4,16.565,29.931,20.515,1:07.011
8,SDT.yueye,4,16.450,30.004,20.633,1:07.087
9,SDT.yueye,3,16.375,30.294,20.488,1:07.157
10,SDT.yueye,3,16.649,30.139,20.539,1:07.327
11,SDT.yueye,3,16.610,30.093,20.608,1:07.311
12,SDT.yueye,3,16.598,30.300,20.539,1:07.437
13,SDT.yueye,3,16.536,30.731,20.600,1:07.867
14,SDT.yueye,2,16.433,29.797,20.483,1:06.713
15,SDT.yueye,2,16.716,30.013,20.543,1:07.272
16,SDT.yueye,1,16.936,30.627,21.119,1:08.682
17,SDT.yueye,2,17.086,30.377,20.627,1:08.090
18,SDT.yueye,2,16.621,30.295,20.698,1:07.614
19,SDT.yueye,11,27.029,30.039,23.501,1:20.569
20,SDT.yueye,15,32.018,29.339,20.134,1:21.491
21,SDT.yueye,13,16.367,28.940,19.979,1:05.286
22,SDT.yueye,11,16.713,29.335,20.189,1:06.237
23,SDT.yueye,12,16.819,29.708,20.251,1:06.778
24,SDT.yueye,12,16.378,29.808,20.262,1:06.448
25,SDT.yueye,12,16.349,29.791,19.938,1:06.078
26,SDT.yueye,10,16.269,29.958,20.203,1:06.430
27,SDT.yueye,10,16.515,29.325,20.235,1:06.075
28,SDT.yueye,11,16.886,29.700,20.346,1:06.932
29,SDT.yueye,11,16.682,29.890,20.325,1:06.897
30,SDT.yueye,12,17.149,29.857,20.478,1:07.484
31,SDT.yueye,13,16.578,30.631,20.436,1:07.645
32,SDT.yueye,13,16.533,30.027,20.378,1:06.938
33,SDT.yueye,13,16.793,29.829,23.858,1:10.480
34,SDT.yueye,15,32.444,30.797,20.662,1:23.903
35,SDT.yueye,14,16.255,28.596,19.538,1:04.389
36,SDT.yueye,14,16.394,28.848,20.295,1:05.537
37,SDT.yueye,14,0.000,0.000,0.000,0.011
