LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SF.BlackStar11,11,0.000,0.000,0.000,0.000
1,SF.BlackStar11,10,21.248,31.442,20.761,1:13.451
2,SF.BlackStar11,9,16.790,30.666,20.544,1:08.000
3,SF.BlackStar11,9,16.595,29.564,20.429,1:06.588
4,SF.BlackStar11,6,16.314,30.170,20.591,1:07.075
5,SF.BlackStar11,7,16.970,30.075,20.738,1:07.783
6,SF.BlackStar11,5,16.700,29.890,20.510,1:07.100
7,SF.BlackStar11,5,16.706,29.975,20.563,1:07.244
8,SF.BlackStar11,6,16.832,30.108,20.511,1:07.451
9,SF.BlackStar11,6,16.589,29.856,20.448,1:06.893
10,SF.BlackStar11,5,16.466,30.206,20.399,1:07.071
11,SF.BlackStar11,5,16.728,30.358,20.540,1:07.626
12,SF.BlackStar11,5,16.910,30.065,20.509,1:07.484
13,SF.BlackStar11,6,16.889,30.092,20.508,1:07.489
14,SF.BlackStar11,5,16.494,29.845,20.867,1:07.206
15,SF.BlackStar11,5,16.448,29.902,20.607,1:06.957
16,SF.BlackStar11,3,16.560,30.024,20.966,1:07.550
17,SF.BlackStar11,4,16.632,30.517,21.076,1:08.225
18,SF.BlackStar11,5,16.800,30.719,20.816,1:08.335
19,SF.BlackStar11,6,16.892,31.231,23.941,1:12.064
20,SF.BlackStar11,13,31.501,29.204,19.992,1:20.697
21,SF.BlackStar11,11,16.669,29.214,20.224,1:06.107
22,SF.BlackStar11,8,16.538,29.268,20.381,1:06.187
23,SF.BlackStar11,8,16.545,29.604,20.613,1:06.762
24,SF.BlackStar11,7,16.359,29.373,20.179,1:05.911
25,SF.BlackStar11,7,16.789,29.301,20.275,1:06.365
26,SF.BlackStar11,6,16.805,29.723,20.218,1:06.746
27,SF.BlackStar11,6,16.807,29.665,20.309,1:06.781
28,SF.BlackStar11,7,16.805,29.412,20.250,1:06.467
29,SF.BlackStar11,7,16.301,29.508,20.126,1:05.935
30,SF.BlackStar11,7,16.483,29.708,20.380,1:06.571
31,SF.BlackStar11,8,16.796,29.764,20.338,1:06.898
32,SF.BlackStar11,8,16.545,29.602,20.060,1:06.207
33,SF.BlackStar11,8,16.457,29.756,20.618,1:06.831
34,SF.BlackStar11,8,16.327,29.680,20.268,1:06.275
35,SF.BlackStar11,8,16.377,29.774,20.203,1:06.354
36,SF.BlackStar11,8,16.343,29.872,20.268,1:06.483
37,SF.BlackStar11,10,0.000,0.000,0.000,0.006
