LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SF.Legal,14,0.000,0.000,0.000,0.000
1,SF.Legal,13,22.136,31.322,20.775,1:14.233
2,SF.Legal,19,16.951,33.355,33.869,1:24.175
3,SF.Legal,19,37.748,29.879,20.551,1:28.178
4,SF.Legal,19,16.808,30.435,20.614,1:07.857
5,SF.Legal,19,16.835,29.979,20.509,1:07.323
6,SF.Legal,18,16.820,30.262,20.953,1:08.035
7,SF.Legal,18,17.128,29.986,20.626,1:07.740
8,SF.Legal,18,16.988,30.128,20.660,1:07.776
9,SF.Legal,18,16.875,29.895,20.654,1:07.424
10,SF.Legal,18,16.864,30.151,20.636,1:07.651
11,SF.Legal,18,17.062,30.469,20.173,1:07.704
12,SF.Legal,18,16.875,31.228,21.443,1:09.546
13,SF.Legal,18,19.806,30.136,20.568,1:10.510
14,SF.Legal,18,16.993,30.067,20.511,1:07.571
15,SF.Legal,17,16.872,30.090,20.596,1:07.558
16,SF.Legal,17,16.987,30.151,20.627,1:07.765
17,SF.Legal,17,16.880,30.078,20.664,1:07.622
18,SF.Legal,17,17.033,30.134,20.362,1:07.529
19,SF.Legal,17,16.879,30.200,20.454,1:07.533
20,SF.Legal,17,16.894,30.237,20.632,1:07.763
21,SF.Legal,16,16.786,29.950,20.533,1:07.269
22,SF.Legal,16,16.847,30.047,20.544,1:07.438
23,SF.Legal,16,16.910,29.840,20.541,1:07.291
24,SF.Legal,16,16.917,30.176,20.623,1:07.716
25,SF.Legal,16,16.964,29.958,23.712,1:10.634
26,SF.Legal,17,31.678,29.431,20.011,1:21.120
27,SF.Legal,16,16.590,29.057,19.784,1:05.431
28,SF.Legal,16,16.568,29.218,19.908,1:05.694
29,SF.Legal,16,17.255,29.267,20.103,1:06.625
30,SF.Legal,16,16.722,29.398,19.985,1:06.105
31,SF.Legal,16,16.635,29.214,20.104,1:05.953
32,SF.Legal,16,16.704,29.259,20.028,1:05.991
33,SF.Legal,16,16.711,29.379,20.045,1:06.135
34,SF.Legal,16,16.665,29.434,20.116,1:06.215
35,SF.Legal,16,16.635,29.349,20.138,1:06.122
36,SF.Legal,16,16.581,29.323,0.000,1:05.612
