LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,MMS,6,30.09,29.164,57.676,1:56.930,Out Lap
2,MMS,8,23.844,29.279,42.729,1:35.852,On Track
3,MMS,8,23.844,29.279,42.729,1:35.852,On Track
4,MMS,8,23.807,29.277,42.52,1:35.604,On Track
5,MMS,8,23.84,29.366,42.462,1:35.668,On Track
6,MMS,7,23.839,29.192,42.414,1:35.445,On Track
7,MMS,7,23.847,29.379,42.423,1:35.649,On Track
8,MMS,7,23.677,29.267,42.431,1:35.375,On Track
9,MMS,7,23.758,29.312,42.336,1:35.406,On Track
10,MMS,6,23.754,29.301,42.476,1:35.531,On Track
11,MMS,6,23.75,29.193,42.635,1:35.578,On Track
12,MMS,6,23.856,29.165,42.496,1:35.517,On Track
13,MMS,5,23.786,29.189,42.344,1:35.319,On Track
14,MMS,5,23.807,29.334,42.633,1:35.774,On Track
15,MMS,5,23.696,29.273,42.47,1:35.439,On Track
16,MMS,5,23.994,29.326,42.495,1:35.815,On Track
17,MMS,5,23.86,29.277,42.513,1:35.650,On Track
18,MMS,5,23.78,29.125,01:01.8,1:54.713,In Lap
19,MMS,5,26.565,28.952,41.805,1:37.322,Out Lap
20,MMS,5,23.507,29.051,41.733,1:34.291,On Track
21,MMS,5,23.384,28.959,41.896,1:34.239,On Track
22,MMS,5,23.388,29.04,41.965,1:34.393,On Track
23,MMS,5,23.44,28.842,42.108,1:34.390,On Track
24,MMS,5,23.44,29.005,42.089,1:34.534,On Track
25,MMS,5,23.896,29.102,41.857,1:34.855,On Track
26,MMS,5,23.474,28.925,41.967,1:34.366,On Track
27,MMS,5,23.344,28.875,41.794,1:34.013,On Track
28,MMS,5,23.376,28.904,41.944,1:34.224,On Track
29,MMS,5,23.524,28.901,41.927,1:34.352,On Track
30,MMS,5,23.497,29.037,42.06,1:34.594,On Track
31,MMS,5,23.422,29.008,41.72,1:34.150,On Track
32,MMS,5,23.314,29.037,41.733,1:34.084,On Track
33,MMS,5,23.383,28.87,41.768,1:34.021,On Track
34,MMS,5,23.42,28.907,41.689,1:34.016,On Track
35,MMS,5,23.444,28.936,41.665,1:34.045,On Track
36,MMS,5,23.358,28.883,41.703,1:33.944,On Track
37,MMS,5,23.437,28.959,41.855,1:34.251,On Track
38,MMS,5,23.54,28.797,41.775,1:34.112,On Track
39,MMS,5,23.316,28.928,41.799,1:34.043,On Track
40,MMS,5,23.361,28.802,41.945,1:34.108,On Track
41,MMS,5,23.488,33.854,1.354,2:04.232,In Lap
42,MMS,5,25.865,28.28,40.923,1:35.068,Out Lap
43,MMS,5,22.776,28.337,40.792,1:31.905,On Track
44,MMS,5,22.782,28.3,40.807,1:31.889,On Track
45,MMS,5,22.753,28.345,40.88,1:31.978,On Track
46,MMS,5,22.896,28.46,40.764,1:32.120,On Track
47,MMS,5,22.862,28.379,40.93,1:32.171,On Track
48,MMS,5,22.826,28.401,41.15,1:32.377,On Track
49,MMS,5,22.931,28.443,41.279,1:32.653,On Track
50,MMS,5,23.02,28.441,41.164,1:32.625,On Track
51,MMS,5,22.859,28.355,41.232,1:32.446,On Track
52,MMS,5,22.984,28.408,41.17,1:32.562,On Track
53,MMS,5,23.067,28.417,41.37,1:32.855,On Track
