LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,PSG.LGD.STeven L2i,1,29.077,29.392,42.132,1:40.601,Out Lap
2,PSG.LGD.STeven L2i,2,24.023,29.139,42.326,1:35.488,On Track
3,PSG.LGD.STeven L2i,2,23.679,29.138,42.216,1:35.033,On Track
4,PSG.LGD.STeven L2i,2,23.727,29.157,42.32,1:35.204,On Track
5,PSG.LGD.STeven L2i,2,23.797,29.384,42.472,1:35.653,On Track
6,PSG.LGD.STeven L2i,2,23.829,29.267,42.53,1:35.626,On Track
7,PSG.LGD.STeven L2i,2,23.987,29.32,42.416,1:35.723,On Track
8,PSG.LGD.STeven L2i,2,23.781,29.27,42.703,1:35.754,On Track
9,PSG.LGD.STeven L2i,2,23.845,29.309,43.103,1:36.257,On Track
10,PSG.LGD.STeven L2i,2,24.02,29.465,42.888,1:36.373,On Track
11,PSG.LGD.STeven L2i,2,24.069,29.458,01:01.4,1:54.966,In Lap
12,PSG.LGD.STeven L2i,2,30.478,29.475,42.345,1:42.298,Out Lap
13,PSG.LGD.STeven L2i,2,23.871,29.226,42.305,1:35.402,On Track
14,PSG.LGD.STeven L2i,2,23.916,29.285,42.213,1:35.414,On Track
15,PSG.LGD.STeven L2i,2,23.776,29.29,42.409,1:35.475,On Track
16,PSG.LGD.STeven L2i,2,23.873,29.23,42.265,1:35.368,On Track
17,PSG.LGD.STeven L2i,2,23.674,29.191,42.368,1:35.233,On Track
18,PSG.LGD.STeven L2i,2,23.749,29.154,42.275,1:35.178,On Track
19,PSG.LGD.STeven L2i,2,23.709,29.099,42.46,1:35.268,On Track
20,PSG.LGD.STeven L2i,2,23.726,29.064,42.268,1:35.058,On Track
21,PSG.LGD.STeven L2i,2,23.833,29.258,42.2,1:35.291,On Track
22,PSG.LGD.STeven L2i,2,23.833,29.214,42.195,1:35.242,On Track
23,PSG.LGD.STeven L2i,2,24.178,29.332,42.195,1:35.705,On Track
24,PSG.LGD.STeven L2i,2,23.784,29.228,42.2,1:35.212,On Track
25,PSG.LGD.STeven L2i,2,23.776,29.219,42.094,1:35.089,On Track
26,PSG.LGD.STeven L2i,2,23.676,29.128,42.133,1:34.937,On Track
27,PSG.LGD.STeven L2i,2,23.806,29.215,42.021,1:35.042,On Track
28,PSG.LGD.STeven L2i,2,23.816,29.019,41.92,1:34.755,On Track
29,PSG.LGD.STeven L2i,2,23.545,29.09,42.009,1:34.644,On Track
30,PSG.LGD.STeven L2i,2,23.573,29.107,42.133,1:34.813,On Track
31,PSG.LGD.STeven L2i,2,23.853,29.055,42.2,1:35.108,On Track
32,PSG.LGD.STeven L2i,2,23.743,29.162,41.899,1:34.804,On Track
33,PSG.LGD.STeven L2i,2,23.598,29.123,41.994,1:34.715,On Track
34,PSG.LGD.STeven L2i,2,23.675,29.227,41.936,1:34.838,On Track
35,PSG.LGD.STeven L2i,2,23.633,29.045,41.957,1:34.635,On Track
36,PSG.LGD.STeven L2i,2,23.517,29.082,41.849,1:34.448,On Track
37,PSG.LGD.STeven L2i,2,23.603,29.182,42.094,1:34.879,On Track
38,PSG.LGD.STeven L2i,2,23.557,28.983,41.876,1:34.416,On Track
39,PSG.LGD.STeven L2i,2,23.395,28.86,41.796,1:34.051,On Track
40,PSG.LGD.STeven L2i,2,23.371,28.972,41.717,1:34.060,On Track
41,PSG.LGD.STeven L2i,2,23.533,28.933,41.73,1:34.196,On Track
42,PSG.LGD.STeven L2i,2,23.341,28.999,41.779,1:34.119,On Track
43,PSG.LGD.STeven L2i,2,23.382,28.869,41.682,1:33.933,On Track
44,PSG.LGD.STeven L2i,2,23.353,28.85,41.609,1:33.812,On Track
45,PSG.LGD.STeven L2i,2,23.395,29.171,41.865,1:34.431,On Track
46,PSG.LGD.STeven L2i,2,23.57,29.101,41.646,1:34.317,On Track
47,PSG.LGD.STeven L2i,2,23.532,28.869,41.654,1:34.055,On Track
48,PSG.LGD.STeven L2i,2,23.446,28.958,41.783,1:34.187,On Track
49,PSG.LGD.STeven L2i,2,23.744,29.02,41.697,1:34.461,On Track
50,PSG.LGD.STeven L2i,2,23.333,28.912,41.759,1:34.004,On Track
51,PSG.LGD.STeven L2i,2,23.365,28.875,41.612,1:33.852,On Track
52,PSG.LGD.STeven L2i,2,23.478,28.844,41.689,1:34.011,On Track
53,PSG.LGD.STeven L2i,2,23.416,28.859,41.689,1:33.964,On Track
