LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,Seb V5,1,25.575,22.957,29.477,1:18.009
2,Seb V5,1,20.345,23.310,29.538,1:13.193
3,Seb V5,1,20.348,22.978,29.703,1:13.029
4,Seb V5,1,20.409,23.330,29.405,1:13.144
5,Seb V5,1,20.370,23.170,29.474,1:13.014
6,Seb V5,1,20.512,23.062,29.683,1:13.257
7,Seb V5,1,20.468,23.307,29.679,1:13.454
8,Seb V5,1,20.655,23.352,29.660,1:13.667
9,Seb V5,1,20.549,23.149,29.824,1:13.522
10,Seb V5,1,20.705,23.424,29.985,1:14.114
11,Seb V5,1,20.717,23.413,29.968,1:14.098
12,Seb V5,4,20.739,23.569,46.406,1:30.714
13,Seb V5,3,21.519,23.268,29.366,1:14.153
14,Seb V5,3,20.486,22.962,29.421,1:12.869
15,Seb V5,3,20.272,22.900,29.562,1:12.734
16,Seb V5,3,20.430,22.951,29.461,1:12.842
17,Seb V5,3,20.228,23.096,29.330,1:12.654
18,Seb V5,3,20.063,22.660,29.457,1:12.180
19,Seb V5,3,20.166,23.088,29.453,1:12.707
20,Seb V5,3,20.291,22.976,29.511,1:12.778
21,Seb V5,3,20.390,23.080,29.381,1:12.851
22,Seb V5,2,20.302,23.043,29.718,1:13.063
23,Seb V5,1,20.352,23.627,30.437,1:14.416
24,Seb V5,2,21.283,23.842,30.228,1:15.353
25,Seb V5,2,23.804,23.508,29.359,1:16.671
26,Seb V5,2,20.583,23.253,29.715,1:13.551
27,Seb V5,2,20.544,23.240,29.645,1:13.429
28,Seb V5,3,20.395,23.183,27.502,1:11.080
29,Seb V5,4,22.601,24.107,30.746,1:17.454
30,Seb V5,4,21.650,26.234,29.673,1:17.557
31,Seb V5,4,20.945,23.552,29.297,1:13.794
32,Seb V5,4,20.403,23.085,29.529,1:13.017
33,Seb V5,4,20.557,23.066,29.727,1:13.350
34,Seb V5,4,20.360,23.198,29.253,1:12.811
35,Seb V5,4,20.492,23.248,29.478,1:13.218
36,Seb V5,4,0.000,0.000,0.000,0.008
