LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,SouLCause,9,30.957,24.217,29.907,1:25.081
2,SouLCause,8,20.650,23.202,29.569,1:13.421
3,SouLCause,8,20.657,23.120,29.787,1:13.564
4,SouLCause,8,20.590,23.034,29.692,1:13.316
5,SouLCause,8,20.560,22.930,29.488,1:12.978
6,SouLCause,8,20.614,22.917,29.498,1:13.029
7,SouLCause,8,20.616,23.072,29.418,1:13.106
8,SouLCause,8,26.335,23.368,29.906,1:19.609
9,SouLCause,7,20.685,23.079,29.861,1:13.625
10,SouLCause,7,20.776,23.198,29.974,1:13.948
11,SouLCause,7,20.505,23.043,29.810,1:13.358
12,SouLCause,3,20.684,23.191,29.820,1:13.695
13,SouLCause,2,20.644,23.345,29.895,1:13.884
14,SouLCause,2,20.594,23.357,29.692,1:13.643
15,SouLCause,7,20.736,23.254,45.548,1:29.538
16,SouLCause,8,21.771,22.998,30.307,1:15.076
17,SouLCause,8,20.666,22.824,29.571,1:13.061
18,SouLCause,7,20.604,22.785,29.180,1:12.569
19,SouLCause,7,20.527,23.115,29.339,1:12.981
20,SouLCause,7,20.754,23.068,29.415,1:13.237
21,SouLCause,7,20.536,22.981,29.581,1:13.098
22,SouLCause,6,20.893,22.987,29.658,1:13.538
23,SouLCause,6,20.601,23.113,29.642,1:13.356
24,SouLCause,6,20.686,23.065,29.571,1:13.322
25,SouLCause,6,20.583,23.068,29.823,1:13.474
26,SouLCause,6,20.545,23.059,29.933,1:13.537
27,SouLCause,6,20.495,23.054,30.017,1:13.566
28,SouLCause,6,20.627,23.021,29.822,1:13.470
29,SouLCause,6,20.763,23.158,29.697,1:13.618
30,SouLCause,6,20.653,23.048,29.601,1:13.302
31,SouLCause,6,20.647,23.126,29.440,1:13.213
32,SouLCause,6,20.704,23.138,29.991,1:13.833
33,SouLCause,6,20.562,23.388,29.581,1:13.531
34,SouLCause,6,20.688,23.260,29.799,1:13.747
35,SouLCause,6,20.932,23.201,29.954,1:14.087
36,SouLCause,5,0.000,0.000,0.000,0.007
