LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,User Jarvis,16,33.439,24.691,31.962,1:30.092
2,User Jarvis,15,21.275,23.148,30.022,1:14.445
3,User Jarvis,13,21.560,24.061,30.448,1:16.069
4,User Jarvis,19,21.394,23.841,54.940,1:40.175
5,User Jarvis,19,23.073,22.797,30.056,1:15.926
6,User Jarvis,19,20.661,22.930,29.740,1:13.331
7,User Jarvis,19,20.669,23.065,30.364,1:14.098
8,User Jarvis,18,21.174,23.234,30.165,1:14.573
9,User Jarvis,18,22.049,23.574,30.180,1:15.803
10,User Jarvis,18,20.958,23.491,30.388,1:14.837
11,User Jarvis,18,21.310,23.691,31.108,1:16.109
12,User Jarvis,18,21.068,24.030,30.323,1:15.421
13,User Jarvis,17,21.172,23.585,30.270,1:15.027
14,User Jarvis,16,21.240,23.322,30.370,1:14.932
15,User Jarvis,17,21.150,23.537,30.809,1:15.496
16,User Jarvis,17,21.112,23.600,30.683,1:15.395
17,User Jarvis,15,21.239,24.319,30.225,1:15.783
18,User Jarvis,15,21.257,23.468,30.729,1:15.454
19,User Jarvis,14,21.220,23.852,46.718,1:31.790
20,User Jarvis,14,22.064,22.828,29.869,1:14.761
21,User Jarvis,14,20.470,22.822,29.781,1:13.073
22,User Jarvis,14,20.385,22.757,30.289,1:13.431
23,User Jarvis,14,24.369,23.121,30.204,1:17.694
24,User Jarvis,14,20.757,23.127,30.612,1:14.496
25,User Jarvis,13,20.836,23.020,30.765,1:14.621
26,User Jarvis,13,21.559,23.360,30.044,1:14.963
27,User Jarvis,12,20.870,23.109,30.183,1:14.162
28,User Jarvis,13,20.995,23.149,32.000,1:16.144
29,User Jarvis,13,20.870,23.291,30.123,1:14.284
30,User Jarvis,13,21.652,23.355,30.459,1:15.466
31,User Jarvis,13,21.003,23.257,30.485,1:14.745
32,User Jarvis,13,21.391,24.459,31.341,1:17.191
33,User Jarvis,13,22.479,23.763,31.448,1:17.690
34,User Jarvis,14,22.149,24.748,31.386,1:18.283
35,User Jarvis,14,0.000,0.000,0.000,0.008
