LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,lambo_leung,12,31.934,25.112,30.724,1:27.770
2,lambo_leung,12,21.892,23.467,30.127,1:15.486
3,lambo_leung,11,21.455,23.738,31.089,1:16.282
4,lambo_leung,17,21.801,23.037,50.704,1:35.542
5,lambo_leung,18,22.735,23.511,29.738,1:15.984
6,lambo_leung,18,20.845,23.117,30.688,1:14.650
7,lambo_leung,18,22.854,23.295,29.572,1:15.721
8,lambo_leung,16,21.415,23.240,30.468,1:15.123
9,lambo_leung,15,20.984,23.806,30.153,1:14.943
10,lambo_leung,15,21.259,23.398,30.476,1:15.133
11,lambo_leung,15,22.337,23.643,30.147,1:16.127
12,lambo_leung,14,21.295,23.710,30.226,1:15.231
13,lambo_leung,15,20.931,23.192,30.130,1:14.253
14,lambo_leung,15,21.304,23.565,30.630,1:15.499
15,lambo_leung,15,21.321,23.457,30.832,1:15.610
16,lambo_leung,15,20.952,23.435,30.440,1:14.827
17,lambo_leung,14,21.271,23.896,29.978,1:15.145
18,lambo_leung,14,21.574,23.735,30.480,1:15.789
19,lambo_leung,15,21.200,24.178,57.008,1:42.386
20,lambo_leung,15,21.894,23.222,29.846,1:14.962
21,lambo_leung,15,20.393,22.770,29.720,1:12.883
22,lambo_leung,15,20.539,23.030,29.956,1:13.525
23,lambo_leung,15,20.468,23.009,29.895,1:13.372
24,lambo_leung,15,20.697,23.154,29.962,1:13.813
25,lambo_leung,17,22.320,23.033,51.347,1:36.700
26,lambo_leung,16,21.788,23.489,29.827,1:15.104
27,lambo_leung,15,21.052,23.893,30.362,1:15.307
28,lambo_leung,15,20.831,23.271,29.661,1:13.763
29,lambo_leung,15,20.875,23.359,29.778,1:14.012
30,lambo_leung,15,20.896,23.125,29.691,1:13.712
31,lambo_leung,15,20.985,23.864,30.099,1:14.948
32,lambo_leung,15,21.018,23.675,30.459,1:15.152
33,lambo_leung,16,21.793,23.714,0.000,1:11.159
