LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,legendary_aqi_didi,10,30.843,25.317,31.050,1:27.210
2,legendary_aqi_didi,10,21.160,23.810,30.340,1:15.310
3,legendary_aqi_didi,19,21.359,24.435,52.489,1:38.283
4,legendary_aqi_didi,18,22.778,23.311,29.744,1:15.833
5,legendary_aqi_didi,17,20.922,23.381,29.852,1:14.155
6,legendary_aqi_didi,17,20.698,23.485,30.667,1:14.850
7,legendary_aqi_didi,16,21.407,23.660,29.500,1:14.567
8,legendary_aqi_didi,15,20.762,23.453,29.884,1:14.099
9,legendary_aqi_didi,14,20.756,23.432,29.891,1:14.079
10,legendary_aqi_didi,14,20.894,23.452,30.611,1:14.957
11,legendary_aqi_didi,14,20.802,23.839,30.191,1:14.832
12,legendary_aqi_didi,12,20.920,23.655,29.699,1:14.274
13,legendary_aqi_didi,13,20.966,24.040,31.080,1:16.086
14,legendary_aqi_didi,13,20.883,24.060,30.032,1:14.975
15,legendary_aqi_didi,14,20.999,23.931,29.681,1:14.611
16,legendary_aqi_didi,13,20.863,24.048,30.086,1:14.997
17,legendary_aqi_didi,11,21.432,24.525,30.089,1:16.046
18,legendary_aqi_didi,12,21.301,24.125,30.433,1:15.859
19,legendary_aqi_didi,11,22.165,23.982,30.395,1:16.542
20,legendary_aqi_didi,11,21.068,23.550,30.196,1:14.814
21,legendary_aqi_didi,12,21.112,23.740,45.907,1:30.759
22,legendary_aqi_didi,12,22.112,23.742,29.296,1:15.150
23,legendary_aqi_didi,12,20.382,22.868,29.210,1:12.460
24,legendary_aqi_didi,12,20.650,22.835,29.731,1:13.216
25,legendary_aqi_didi,15,21.846,23.554,46.474,1:31.874
26,legendary_aqi_didi,17,23.053,25.388,51.316,1:39.757
27,legendary_aqi_didi,16,22.214,23.453,29.436,1:15.103
28,legendary_aqi_didi,16,20.103,22.779,29.465,1:12.347
29,legendary_aqi_didi,16,20.327,23.135,29.461,1:12.923
30,legendary_aqi_didi,16,20.188,22.869,30.304,1:13.361
31,legendary_aqi_didi,16,20.810,23.486,30.312,1:14.608
32,legendary_aqi_didi,16,20.733,23.338,29.466,1:13.537
33,legendary_aqi_didi,15,21.038,23.222,29.960,1:14.220
34,legendary_aqi_didi,15,20.989,23.701,0.000,1:15.605
