LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,mikko,11,31.650,24.823,31.040,1:27.513
2,mikko,11,21.212,24.047,30.266,1:15.525
3,mikko,10,21.305,23.591,29.466,1:14.362
4,mikko,10,20.682,23.235,29.535,1:13.452
5,mikko,10,20.934,23.536,29.672,1:14.142
6,mikko,10,20.949,23.261,29.406,1:13.616
7,mikko,10,21.106,23.448,29.643,1:14.197
8,mikko,9,20.899,23.432,29.865,1:14.196
9,mikko,8,20.894,23.580,30.014,1:14.488
10,mikko,10,21.143,23.478,45.386,1:30.007
11,mikko,10,21.814,23.848,29.425,1:15.087
12,mikko,10,20.540,23.194,29.321,1:13.055
13,mikko,10,20.750,23.421,29.534,1:13.705
14,mikko,10,20.725,23.205,29.301,1:13.231
15,mikko,10,20.474,23.193,29.553,1:13.220
16,mikko,9,20.857,23.186,29.703,1:13.746
17,mikko,9,20.536,23.242,29.664,1:13.442
18,mikko,9,20.850,23.345,29.496,1:13.691
19,mikko,9,20.659,23.419,29.947,1:14.025
20,mikko,9,20.617,23.491,29.710,1:13.818
21,mikko,9,20.841,23.279,29.617,1:13.737
22,mikko,8,20.651,23.361,29.655,1:13.667
23,mikko,8,20.583,23.417,29.696,1:13.696
24,mikko,8,20.619,23.344,29.686,1:13.649
25,mikko,8,20.991,23.577,29.857,1:14.425
26,mikko,8,20.761,23.464,29.970,1:14.195
27,mikko,8,20.715,23.332,29.673,1:13.720
28,mikko,9,20.933,23.536,29.939,1:14.408
29,mikko,9,20.666,23.109,29.597,1:13.372
30,mikko,9,20.815,23.604,29.867,1:14.286
31,mikko,9,20.783,23.277,29.935,1:13.995
32,mikko,9,21.242,23.611,29.975,1:14.828
33,mikko,9,21.481,23.692,29.812,1:14.985
34,mikko,9,20.863,23.574,29.840,1:14.277
35,mikko,9,21.022,23.369,30.008,1:14.399
36,mikko,9,0.000,0.000,0.000,0.011
