LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,muamua.iu272,8,30.001,24.056,29.709,1:23.766
2,muamua.iu272,20,35.445,26.018,51.784,1:53.247
3,muamua.iu272,20,21.657,23.381,29.496,1:14.534
4,muamua.iu272,20,20.937,23.279,29.676,1:13.892
5,muamua.iu272,20,20.597,23.207,29.660,1:13.464
6,muamua.iu272,20,20.454,22.997,29.543,1:12.994
7,muamua.iu272,20,20.619,23.259,29.804,1:13.682
8,muamua.iu272,19,20.888,22.951,29.568,1:13.407
9,muamua.iu272,17,21.124,23.386,29.702,1:14.212
10,muamua.iu272,17,20.678,23.180,30.374,1:14.232
11,muamua.iu272,17,22.000,25.419,29.944,1:17.363
12,muamua.iu272,16,20.967,24.394,29.911,1:15.272
13,muamua.iu272,16,20.903,23.243,30.227,1:14.373
14,muamua.iu272,19,21.201,24.276,0.000,1:25.912
