LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,mushimu,4,31.305,29.578,42.435,1:43.318,Out Lap
2,mushimu,4,23.816,29.487,42.469,1:35.772,On Track
3,mushimu,3,23.915,29.141,42.587,1:35.643,On Track
4,mushimu,2,23.906,29.228,42.525,1:35.659,On Track
5,mushimu,2,23.794,29.309,42.509,1:35.612,On Track
6,mushimu,2,23.98,29.424,42.761,1:36.165,On Track
7,mushimu,2,23.773,29.501,42.573,1:35.847,On Track
8,mushimu,2,23.82,29.445,42.471,1:35.736,On Track
9,mushimu,2,23.906,29.36,42.387,1:35.653,On Track
10,mushimu,2,23.615,29.239,42.431,1:35.285,On Track
11,mushimu,2,23.884,29.26,42.473,1:35.617,On Track
12,mushimu,2,23.719,29.414,42.302,1:35.435,On Track
13,mushimu,2,23.824,29.143,42.433,1:35.400,On Track
14,mushimu,2,23.674,29.354,42.418,1:35.446,On Track
15,mushimu,1,23.909,29.299,42.324,1:35.532,On Track
16,mushimu,1,23.872,29.125,42.145,1:35.142,On Track
17,mushimu,1,23.608,29.153,42.059,1:34.820,On Track
18,mushimu,1,23.815,29.229,42.182,1:35.226,On Track
19,mushimu,1,23.59,29.153,42.063,1:34.806,On Track
20,mushimu,1,23.788,29.227,42.239,1:35.254,On Track
21,mushimu,1,23.72,29.179,42.183,1:35.082,On Track
22,mushimu,1,23.704,29.315,42.096,1:35.115,On Track
23,mushimu,1,23.621,29.306,42.183,1:35.110,On Track
24,mushimu,1,23.576,29.186,41.972,1:34.734,On Track
25,mushimu,1,23.577,28.972,42.044,1:34.593,On Track
26,mushimu,1,23.535,29.004,41.937,1:34.476,On Track
27,mushimu,1,23.637,29.162,42.201,1:35.000,On Track
28,mushimu,1,23.55,29.063,42.075,1:34.688,On Track
29,mushimu,1,23.503,29.002,42.036,1:34.541,On Track
30,mushimu,1,23.577,29.197,42.065,1:34.839,On Track
31,mushimu,1,23.538,29.248,41.85,1:34.636,On Track
32,mushimu,1,23.141,28.964,41.563,1:33.668,On Track
33,mushimu,1,23.524,29.184,41.836,1:34.544,On Track
34,mushimu,3,23.482,29.108,01:01.0,1:53.616,In Lap
35,mushimu,3,25.807,28.491,41.022,1:35.320,Out Lap
36,mushimu,3,22.783,28.026,41.004,1:31.813,On Track
37,mushimu,1,23.194,28.622,41.279,1:33.095,On Track
38,mushimu,1,22.907,28.609,41.32,1:32.836,On Track
39,mushimu,1,22.993,28.619,41.306,1:32.918,On Track
40,mushimu,1,23.095,28.616,41.438,1:33.149,On Track
41,mushimu,1,23.02,28.821,41.551,1:33.392,On Track
42,mushimu,1,22.947,28.521,41.584,1:33.052,On Track
43,mushimu,1,22.967,28.031,41.501,1:32.499,On Track
44,mushimu,4,23.092,28.839,59.46,1:51.391,In Lap
45,mushimu,4,25.51,28.073,40.404,1:33.987,Out Lap
46,mushimu,3,22.688,27.898,40.53,1:31.116,On Track
47,mushimu,3,22.741,28.235,40.724,1:31.700,On Track
48,mushimu,3,22.552,28.303,40.667,1:31.522,On Track
49,mushimu,2,22.77,27.983,40.843,1:31.596,On Track
50,mushimu,2,22.758,28.452,40.833,1:32.043,On Track
51,mushimu,1,22.898,28.295,41.086,1:32.279,On Track
52,mushimu,1,22.685,28.347,40.843,1:31.875,On Track
53,mushimu,1,22.924,28.66,40.972,1:32.556,On Track
