LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,reggiesun,19,29.975,24.827,53.350,1:48.152
2,reggiesun,19,22.229,24.222,30.227,1:16.678
3,reggiesun,18,20.985,23.607,30.386,1:14.978
4,reggiesun,17,21.284,23.477,30.233,1:14.994
5,reggiesun,16,21.192,23.595,30.531,1:15.318
6,reggiesun,16,21.117,23.489,30.980,1:15.586
7,reggiesun,17,22.109,23.552,30.023,1:15.684
8,reggiesun,17,21.122,23.500,31.109,1:15.731
9,reggiesun,16,21.162,23.708,30.320,1:15.190
10,reggiesun,16,21.254,23.349,30.049,1:14.652
11,reggiesun,16,22.375,24.833,30.224,1:17.432
12,reggiesun,17,21.349,24.884,30.219,1:16.452
13,reggiesun,18,22.192,23.621,30.068,1:15.881
14,reggiesun,18,21.034,24.096,31.410,1:16.540
15,reggiesun,18,21.358,23.866,30.584,1:15.808
16,reggiesun,18,21.162,23.550,30.958,1:15.670
17,reggiesun,16,21.130,23.678,30.485,1:15.293
18,reggiesun,16,21.180,23.725,30.834,1:15.739
19,reggiesun,12,21.226,23.706,30.593,1:15.525
20,reggiesun,12,21.276,23.585,30.776,1:15.637
21,reggiesun,11,21.086,23.562,30.381,1:15.029
22,reggiesun,11,21.120,23.624,30.070,1:14.814
23,reggiesun,11,21.242,23.541,30.621,1:15.404
24,reggiesun,11,21.310,23.429,30.157,1:14.896
25,reggiesun,11,20.940,23.727,30.050,1:14.717
26,reggiesun,11,20.959,23.273,29.916,1:14.148
27,reggiesun,11,21.338,23.669,30.820,1:15.827
28,reggiesun,11,21.057,23.606,31.340,1:16.003
29,reggiesun,11,23.790,23.579,30.159,1:17.528
30,reggiesun,11,21.016,23.598,30.324,1:14.938
31,reggiesun,11,21.080,23.579,29.904,1:14.563
32,reggiesun,12,22.497,23.802,30.146,1:16.445
33,reggiesun,12,21.181,24.872,29.868,1:15.921
34,reggiesun,12,20.956,23.551,30.515,1:15.022
35,reggiesun,12,0.000,0.000,0.000,0.008
