LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,wasd,18,29.709,24.542,51.378,1:45.629
2,wasd,17,21.949,23.641,30.037,1:15.627
3,wasd,17,20.805,23.557,30.370,1:14.732
4,wasd,15,20.692,23.506,29.961,1:14.159
5,wasd,15,20.658,23.425,29.836,1:13.919
6,wasd,15,21.019,23.657,29.990,1:14.666
7,wasd,14,20.861,23.846,30.243,1:14.950
8,wasd,13,21.037,23.509,29.878,1:14.424
9,wasd,13,21.295,23.747,29.764,1:14.806
10,wasd,13,20.940,23.388,30.017,1:14.345
11,wasd,12,20.921,23.771,30.220,1:14.912
12,wasd,11,21.120,23.743,30.091,1:14.954
13,wasd,11,21.332,23.727,30.353,1:15.412
14,wasd,11,21.431,23.571,30.028,1:15.030
15,wasd,11,20.962,23.596,30.249,1:14.807
16,wasd,11,21.273,23.615,30.705,1:15.593
17,wasd,17,21.228,45.674,30.523,1:37.425
18,wasd,17,20.936,23.622,30.153,1:14.711
19,wasd,16,21.042,23.578,51.009,1:35.629
20,wasd,16,21.583,22.884,29.595,1:14.062
21,wasd,16,20.193,23.883,29.859,1:13.935
22,wasd,16,20.336,22.921,30.298,1:13.555
23,wasd,16,20.342,24.581,29.413,1:14.336
24,wasd,16,20.958,22.797,29.527,1:13.282
25,wasd,14,20.280,22.926,29.468,1:12.674
26,wasd,14,20.286,22.925,29.583,1:12.794
27,wasd,13,20.980,23.188,29.251,1:13.419
28,wasd,12,20.349,22.982,29.825,1:13.156
29,wasd,12,20.400,22.938,29.094,1:12.432
30,wasd,12,20.708,22.724,29.493,1:12.925
31,wasd,12,21.465,22.703,29.423,1:13.591
32,wasd,11,20.584,22.899,29.007,1:12.490
33,wasd,11,20.181,23.058,29.531,1:12.770
34,wasd,11,20.142,22.894,29.514,1:12.550
35,wasd,11,0.000,0.000,0.000,0.008
