frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
2923,2022/3/25 20:05,Kimi810,16,1,0,2,0.01832,1,0,8,10421,0,0,1,0
2924,2022/3/25 20:05,Kimi810,16,1,0.115,0,0.029091,1,0,8,10449,0,0,1,0
2925,2022/3/25 20:05,Kimi810,16,1,0.161,0,0.03125,1,0,8,10468,0,0,1,0
2926,2022/3/25 20:05,Kimi810,16,1,0.219,0,0.03125,1,0,8,10480,0,0,1,0
2927,2022/3/25 20:05,Kimi810,16,1,0.266,0,0.03125,1,0,8,10487,0,0,1,0
2928,2022/3/25 20:05,Kimi810,16,1,0.322,0,0.03125,1,0,8,10494,0,0,1,0
2929,2022/3/25 20:05,Kimi810,16,1,0.369,0,0.03125,1,0,8,10500,0,0,1,0
2930,2022/3/25 20:05,Kimi810,16,1,0.427,0,0.03125,1,0,8,10509,0,0,1,0
2931,2022/3/25 20:05,Kimi810,16,1,0.474,0,0.03125,1,0,8,10518,0,0,1,0
2932,2022/3/25 20:05,Kimi810,16,1,0.532,0,0.03125,1,0,8,10541,0,0,1,0
2934,2022/3/25 20:05,Kimi810,16,1,0.579,0,0.03125,1,0,8,10563,0,0,1,0
2935,2022/3/25 20:05,Kimi810,16,1,0.636,0,0.03125,1,0,8,10588,0,0,1,0
2936,2022/3/25 20:05,Kimi810,16,1,0.683,0,0.03125,1,0,8,10600,0,0,1,0
2937,2022/3/25 20:05,Kimi810,16,1,0.74,0,0.03125,1,0,8,10611,0,0,1,0
2938,2022/3/25 20:05,Kimi810,16,1,0.786,0,0.03125,1,0,8,10621,0,0,1,0
2939,2022/3/25 20:05,Kimi810,16,1,0.846,0,0.03125,1,0,8,10632,0,0,1,0
2940,2022/3/25 20:05,Kimi810,16,1,0.892,0,0.03125,1,0,8,10642,0,0,1,0
2941,2022/3/25 20:05,Kimi810,16,1,0.951,0,0.03125,1,0,8,10656,0,0,1,0
2942,2022/3/25 20:05,Kimi810,16,1,1,0,0.03125,1,0,8,10666,0,0,1,0
