frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22207,2022/4/22 20:21,LHAM66,19,1,0.1,0.388661,0,0,1,0,7,10532,0,0,0,0
22208,2022/4/22 20:21,LHAM66,19,1,0.15,3.99537,0,0,1,0,7,10540,0,0,0,0
22210,2022/4/22 20:21,LHAM66,19,1,0.252,11.3989,0,0,1,0,7,10608,0,0,0,0
22212,2022/4/22 20:21,LHAM66,19,1,0.252,11.3989,0,0,1,0,7,10644,0,0,0,0
22213,2022/4/22 20:21,LHAM66,19,1,0.353,18.9428,0,0,1,0,7,10665,0,0,0,0
22214,2022/4/22 20:21,LHAM66,19,1,0.404,22.8164,0,0,1,0,7,10682,0,0,0,0
22215,2022/4/22 20:21,LHAM66,19,1,0.456,26.599,0,0,1,0,7,10702,0,0,0,0
22216,2022/4/22 20:21,LHAM66,19,1,0.456,26.599,0,0,1,0,7,10727,0,0,0,0
22218,2022/4/22 20:21,LHAM66,19,1,0.614,38.3827,0,0,1,0,7,10795,0,0,0,0
22219,2022/4/22 20:21,LHAM66,19,1,0.665,42.284,0,0,1,0,7,10839,0,0,0,0
22220,2022/4/22 20:21,LHAM66,19,1,0.717,46.1656,0,0,1,0,7,10880,0,0,0,0
22221,2022/4/22 20:21,LHAM66,19,1,0.77,50.0167,0,0,1,0,7,10914,0,0,0,0
22222,2022/4/22 20:21,LHAM66,19,1,0.821,53.9951,0,0,1,0,7,10948,0,0,0,0
22223,2022/4/22 20:21,LHAM66,19,1,0.873,57.9819,0,0,1,0,7,10974,0,0,0,0
22224,2022/4/22 20:21,LHAM66,19,1,0.927,62.0171,0,0,1,0,7,10995,0,0,0,0
22225,2022/4/22 20:21,LHAM66,19,1,0.98,65.9511,0,0,1,0,7,11015,0,0,0,0
22226,2022/4/22 20:21,LHAM66,19,1,1.031,69.9868,0,0,1,0,7,11033,0,0,0,0
22227,2022/4/22 20:21,LHAM66,19,1,1.031,69.9868,0,0,1,0,7,11052,0,0,0,0
22228,2022/4/22 20:21,LHAM66,19,1,1.136,78.0785,0,0,1,0,7,11075,0,0,0,0
22229,2022/4/22 20:21,LHAM66,19,1,1.189,82.0434,0,0,1,0,7,11104,0,0,0,0
22230,2022/4/22 20:21,LHAM66,19,1,1.241,86.0396,0,0,1,0,7,11134,0,0,0,0
22232,2022/4/22 20:21,LHAM66,19,1,1.294,90.0712,0,0,1,0,7,11157,0,0,0,0
22233,2022/4/22 20:21,LHAM66,19,1,1.346,94.1525,0,0,1,0,7,11178,0,0,0,0
22234,2022/4/22 20:21,LHAM66,19,1,1.4,98.1714,0,0,1,0,7,11196,0,0,0,0
22235,2022/4/22 20:21,LHAM66,19,1,1.451,102.26,0,0,1,0,7,11211,0,0,0,0
22236,2022/4/22 20:21,LHAM66,19,1,1.504,106.37,0,0,1,0,7,11225,0,0,0,0
22237,2022/4/22 20:21,LHAM66,19,1,1.557,110.417,0,0,1,0,7,11245,0,0,0,0
22238,2022/4/22 20:21,LHAM66,19,1,1.611,114.726,0,0,1,0,7,11274,0,0,0,0
22239,2022/4/22 20:21,LHAM66,19,1,1.664,118.773,0,0,1,0,7,11303,0,0,0,0
22240,2022/4/22 20:21,LHAM66,19,1,1.664,118.773,0,0,1,0,7,11316,0,0,0,0
22241,2022/4/22 20:21,LHAM66,19,1,1.769,127.012,0,0,1,0,7,11321,0,0,0,0
22242,2022/4/22 20:21,LHAM66,19,1,1.82,131.011,0,0,1,0,7,11329,0,0,0,0
22243,2022/4/22 20:21,LHAM66,19,1,1.82,131.011,0,0,1,0,7,11351,0,0,0,0
22244,2022/4/22 20:21,LHAM66,19,1,1.924,139.144,0,0,1,0,7,11377,0,0,0,0
22245,2022/4/22 20:21,LHAM66,19,1,1.976,143.218,0,0,1,0,7,11401,0,0,0,0
22246,2022/4/22 20:21,LHAM66,19,1,2.025,147.172,0,0,1,0,7,11418,0,0,0,0
22247,2022/4/22 20:21,LHAM66,19,1,2.078,151.27,0,0,1,0,7,11433,0,0,0,0
22248,2022/4/22 20:21,LHAM66,19,1,2.129,155.28,0,0,1,0,7,11448,0,0,0,0
22249,2022/4/22 20:21,LHAM66,19,1,2.18,159.367,0,0,1,0,7,11466,0,0,0,0
22250,2022/4/22 20:21,LHAM66,19,1,2.232,163.468,0,0,1,0,7,11482,0,0,0,0
22252,2022/4/22 20:21,LHAM66,19,1,2.283,167.587,0,0,1,0,7,11492,0,0,0,0
22253,2022/4/22 20:21,LHAM66,19,1,2.283,167.587,0,0,1,0,7,11499,0,0,0,0
22254,2022/4/22 20:21,LHAM66,19,1,2.387,175.78,0,0,1,0,7,11509,0,0,0,0
22255,2022/4/22 20:21,LHAM66,19,1,2.438,179.812,0,0,1,0,7,11534,0,0,0,0
22256,2022/4/22 20:21,LHAM66,19,1,2.488,183.861,0,0,1,0,7,11563,0,0,0,0
22257,2022/4/22 20:21,LHAM66,19,1,2.539,188.015,0,0,1,0,7,11590,0,0,0,0
22258,2022/4/22 20:21,LHAM66,19,1,2.591,192.114,0,0,1,0,7,11605,0,0,0,0
22259,2022/4/22 20:21,LHAM66,19,1,2.642,196.218,0,0,1,0,7,11611,0,0,0,0
22261,2022/4/22 20:21,LHAM66,19,1,2.743,204.302,0,0,1,0,7,11637,0,0,0,0
22263,2022/4/22 20:21,LHAM66,19,1,2.794,208.398,0,0,1,0,7,11653,0,0,0,0
22264,2022/4/22 20:21,LHAM66,19,1,2.845,212.548,0,0,1,0,7,11656,0,0,0,0
22265,2022/4/22 20:21,LHAM66,19,1,2.896,216.676,0,0,1,0,7,11651,0,0,0,0
22266,2022/4/22 20:21,LHAM66,19,1,2.949,220.835,0,0,1,0,7,11644,0,0,0,0
22267,2022/4/22 20:21,LHAM66,19,1,3,225.057,0,0,1,0,7,11652,0,0,0,0
22268,2022/4/22 20:21,LHAM66,19,1,3.053,229.252,0,0,1,0,7,11664,0,0,0,0
22269,2022/4/22 20:21,LHAM66,19,1,3.053,229.252,0,0,1,0,7,11681,0,0,0,0
22270,2022/4/22 20:21,LHAM66,19,1,3.156,237.674,0,0,1,0,7,11699,0,0,0,0
22271,2022/4/22 20:21,LHAM66,19,1,3.207,241.676,0,0,1,0,7,11713,0,0,0,0
22274,2022/4/22 20:21,LHAM66,19,1,3.31,250.073,0,0,1,0,7,11736,0,0,0,0
22275,2022/4/22 20:21,LHAM66,19,1,3.363,254.321,0,0,1,0,7,11745,0,0,0,0
22276,2022/4/22 20:21,LHAM66,19,1,3.415,258.605,0,0,1,0,7,11749,0,0,0,0
22277,2022/4/22 20:21,LHAM66,19,1,3.467,262.885,0,0,1,0,7,11750,0,0,0,0
22278,2022/4/22 20:21,LHAM66,19,1,3.518,267.024,0,0,1,0,7,11751,0,0,0,0
22279,2022/4/22 20:21,LHAM66,19,1,3.571,271.365,0,0,1,0,7,11767,0,0,0,0
22280,2022/4/22 20:21,LHAM66,19,1,3.623,275.572,0,0,1,0,7,11778,0,0,0,0
22282,2022/4/22 20:21,LHAM66,19,1,3.623,275.572,0,0,1,0,7,11738,0,0,0,0
22283,2022/4/22 20:21,LHAM66,19,1,3.778,288.276,0,0,1,0,7,11795,0,0,0,0
22284,2022/4/22 20:21,LHAM66,19,1,3.831,292.461,0,0.003565,1,0,7,11831,0,0,0,0
22285,2022/4/22 20:21,LHAM66,19,1,3.883,296.794,0,0.014138,1,0,7,11844,0,0,0,0
22286,2022/4/22 20:21,LHAM66,19,1,3.935,301,0,0.024854,1,0,7,11785,0,0,0,0
22287,2022/4/22 20:21,LHAM66,19,1,3.986,305.254,0,0.03125,1,0,7,11821,0,0,0,0
22288,2022/4/22 20:21,LHAM66,19,1,4.038,309.449,0,0.03125,1,0,7,11844,0,0,0,0
22289,2022/4/22 20:21,LHAM66,19,1,4.088,313.646,0,0.03125,1,0,7,11858,0,0,0,0
22290,2022/4/22 20:21,LHAM66,19,1,4.143,317.972,0,0.03125,1,0,7,11797,0,0,0,0
22291,2022/4/22 20:21,LHAM66,19,1,4.193,322.096,0,0.03125,1,0,7,11825,0,0,0,0
22292,2022/4/22 20:21,LHAM66,19,1,4.244,326.308,0,0.03125,1,0,7,11835,0,0,0,0
22294,2022/4/22 20:21,LHAM66,19,1,4.295,330.518,0,0.03125,1,0,7,11844,0,0,0,0
22295,2022/4/22 20:21,LHAM66,19,1,4.353,335.342,0,0.03125,1,0,7,11774,0,0,0,0
22296,2022/4/22 20:21,LHAM66,19,1,4.403,339.565,0,0.032532,1,0,8,11529,0,0,0,0
22297,2022/4/22 20:21,LHAM66,19,1,4.464,344.405,0,0.045985,1,0,8,10330,0,0,0,0
22298,2022/4/22 20:21,LHAM66,19,1,4.505,347.846,0,0.055205,1,0,8,10330,0,0,0,0
22299,2022/4/22 20:21,LHAM66,19,1,4.505,347.846,0,0.066827,1,0,8,10333,0,0,0,0
22301,2022/4/22 20:21,LHAM66,19,1,4.611,356.504,0,0.077664,1,0,8,10331,0,0,0,0
22302,2022/4/22 20:21,LHAM66,19,1,4.663,360.745,0,0.088314,1,0,8,10332,0,0,0,0
22303,2022/4/22 20:21,LHAM66,19,1,4.715,364.94,0,0.099326,1,0,8,10327,0,0,0,0
22304,2022/4/22 20:21,LHAM66,19,1,4.767,369.178,0,0.110594,1,0,8,10319,0,0,0,0
22306,2022/4/22 20:21,LHAM66,19,1,4.819,373.392,0,0.121947,1,0,8,10311,0,0,0,0
22307,2022/4/22 20:21,LHAM66,19,1,4.871,377.621,0,0.117096,1,0,8,10305,0,0,0,0
22308,2022/4/22 20:21,LHAM66,19,1,4.923,381.765,0,0.106241,1,0,8,10305,0,0,0,0
22309,2022/4/22 20:21,LHAM66,19,1,4.975,385.976,0,0.095356,1,0,8,10311,0,0,0,0
22310,2022/4/22 20:21,LHAM66,19,1,5.025,390.013,0,0.102595,1,0,8,10318,0,0,0,0
22311,2022/4/22 20:21,LHAM66,19,1,5.075,393.945,0,0.112852,1,0,8,10318,0,0,0,0
22312,2022/4/22 20:21,LHAM66,19,1,5.133,398.507,0,0.124899,1,0,8,10318,0,0,0,0
22313,2022/4/22 20:21,LHAM66,19,1,5.176,401.783,0,0.115843,1,0,8,10312,0,0,0,0
22314,2022/4/22 20:21,LHAM66,19,1,5.233,406.285,0,0.103446,1,0,8,10290,0,0,0,0
22317,2022/4/22 20:21,LHAM66,19,1,5.393,420.01,0,0.09375,1,0,8,10263,0,0,0,0
22318,2022/4/22 20:21,LHAM66,19,1,5.443,424.792,0,0.09375,1,0,8,10259,0,0,0,0
22320,2022/4/22 20:21,LHAM66,19,1,5.543,434.098,0,0.09375,1,0,8,10251,0,0,0,0
22321,2022/4/22 20:21,LHAM66,19,1,5.594,438.702,0,0.09375,1,0,8,10277,0,0,0,0
22322,2022/4/22 20:21,LHAM66,19,1,5.644,443.28,0,0.09375,1,0,8,10247,0,0,0,0
22323,2022/4/22 20:21,LHAM66,19,1,5.695,447.746,0,0.09375,1,0,8,10239,0,0,0,0
22324,2022/4/22 20:21,LHAM66,19,1,5.747,451.901,0,0.09375,1,0,8,10232,0,0,0,0
22326,2022/4/22 20:21,LHAM66,19,1,5.803,456.837,0,0.09375,1,0,8,10222,0,0,0,0
22327,2022/4/22 20:21,LHAM66,19,1,5.803,456.837,0,0.09375,1,0,8,10218,0,0,0,0
22328,2022/4/22 20:21,LHAM66,19,1,5.9,464.683,0,0.09375,1,0,8,10211,0,0,0,0
