frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
21403,2022/4/22 20:20,NTR.zbk,3,2,0.09,0.209961,0,0,1,0,7,10552,0,0,0,0
21404,2022/4/22 20:20,NTR.zbk,3,2,0.09,0.209961,0,0,1,0,7,10582,0,0,0,0
21405,2022/4/22 20:20,NTR.zbk,3,2,0.196,8.06006,0,0,1,0,7,10612,0,0,0,0
21406,2022/4/22 20:20,NTR.zbk,3,2,0.196,8.06006,0,0,1,0,7,10640,0,0,0,0
21407,2022/4/22 20:20,NTR.zbk,3,2,0.303,15.9849,0,0,1,0,7,10667,0,0,0,0
21409,2022/4/22 20:20,NTR.zbk,3,2,0.361,20.1841,0,0,1,0,7,10723,0,0,0,0
21410,2022/4/22 20:20,NTR.zbk,3,2,0.41,23.8193,0,0,1,0,7,10761,0,0,0,0
21411,2022/4/22 20:20,NTR.zbk,3,2,0.467,28.0957,0,0,1,0,7,10785,0,0,0,0
21412,2022/4/22 20:20,NTR.zbk,3,2,0.515,31.7852,0,0,1,0,7,10808,0,0,0,0
21413,2022/4/22 20:20,NTR.zbk,3,2,0.573,35.8467,0,0,1,0,7,10843,0,0,0,0
21414,2022/4/22 20:20,NTR.zbk,3,2,0.62,39.585,0,0,1,0,7,10862,0,0,0,0
21415,2022/4/22 20:20,NTR.zbk,3,2,0.676,43.7783,0,0,1,0,7,10895,0,0,0,0
21416,2022/4/22 20:20,NTR.zbk,3,2,0.724,47.4204,0,0,1,0,7,10912,0,0,0,0
21417,2022/4/22 20:20,NTR.zbk,3,2,0.78,51.5596,0,0,1,0,7,10945,0,0,0,0
21418,2022/4/22 20:20,NTR.zbk,3,2,0.78,51.5596,0,0,1,0,7,10964,0,0,0,0
21420,2022/4/22 20:20,NTR.zbk,3,2,0.934,63.4019,0,0,1,0,7,11014,0,0,0,0
21421,2022/4/22 20:20,NTR.zbk,3,2,0.934,63.4019,0,0,1,0,7,11049,0,0,0,0
21423,2022/4/22 20:20,NTR.zbk,4,2,1.094,75.6509,0,0,1,0,7,11100,0,0,0,0
21424,2022/4/22 20:20,NTR.zbk,4,2,1.143,79.2954,0,0,1,0,7,11117,0,0,0,0
21425,2022/4/22 20:20,NTR.zbk,4,2,1.193,83.2012,0,0,1,0,7,11147,0,0,0,0
21426,2022/4/22 20:20,NTR.zbk,4,2,1.251,87.5337,0,0,1,0,7,11160,0,0,0,0
21427,2022/4/22 20:20,NTR.zbk,4,2,1.298,91.2749,0,0,1,0,7,11183,0,0,0,0
21429,2022/4/22 20:20,NTR.zbk,4,2,1.347,95.0591,0,0,1,0,7,11204,0,0,0,0
21430,2022/4/22 20:20,NTR.zbk,4,2,1.403,99.5566,0,0,1,0,7,11231,0,0,0,0
21431,2022/4/22 20:20,NTR.zbk,4,2,1.451,103.28,0,0,1,0,7,11254,0,0,0,0
21433,2022/4/22 20:20,NTR.zbk,4,2,1.556,111.296,0,0,1,0,7,11291,0,0,0,0
21434,2022/4/22 20:20,NTR.zbk,4,2,1.608,115.449,0,0,1,0,7,11307,0,0,0,0
21436,2022/4/22 20:20,NTR.zbk,4,2,1.608,115.449,0,0,1,0,7,11330,0,0,0,0
21437,2022/4/22 20:20,NTR.zbk,4,2,1.763,127.608,0,0,1,0,7,11344,0,0,0,0
21438,2022/4/22 20:20,NTR.zbk,4,2,1.82,132.192,0,0,1,0,7,11365,0,0,0,0
