frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
0,25/3/22 20:20,Siesta siesta,11,3,0,0,0.03125,1,0,8,10545,1,0,0,0
1,25/3/22 20:20,Siesta siesta,11,4,0.054,0,0.03125,1,0,8,10559,0,0,0,0
2,25/3/22 20:20,Siesta siesta,11,4,0.104,0,0.03125,1,0,8,10572,0,0,0,0
3,25/3/22 20:20,Siesta siesta,11,4,0.156,0,0.03125,1,0,8,10586,0,0,0,0
4,25/3/22 20:20,Siesta siesta,11,4,0.208,0,0.03125,1,0,8,10595,0,0,0,0
5,25/3/22 20:20,Siesta siesta,11,4,0.257,0,0.03125,1,0,8,10596,0,0,0,0
6,25/3/22 20:20,Siesta siesta,11,4,0.314,0,0.03125,1,0,8,10596,0,0,0,0
7,25/3/22 20:20,Siesta siesta,11,4,0.363,0,0.03125,1,0,8,10603,0,0,0,0
8,25/3/22 20:20,Siesta siesta,11,4,0.418,0,0.03125,1,0,8,10619,0,0,0,0
9,25/3/22 20:20,Siesta siesta,11,4,0.467,0,0.03125,1,0,8,10634,0,0,0,0
10,25/3/22 20:20,Siesta siesta,11,4,0.522,0,0.03125,1,0,8,10653,0,0,0,0
11,25/3/22 20:20,Siesta siesta,11,4,0.57,0,0.03125,1,0,8,10670,0,0,0,0
12,25/3/22 20:20,Siesta siesta,11,4,0.625,0,0.03125,1,0,8,10686,0,0,0,0
13,25/3/22 20:20,Siesta siesta,11,4,0.671,0,0.03125,1,0,8,10692,0,0,0,0
14,25/3/22 20:20,Siesta siesta,11,4,0.728,0,0.03125,1,0,8,10696,0,0,0,0
15,25/3/22 20:20,Siesta siesta,11,4,0.775,0,0.03125,1,0,8,10699,0,0,0,0
16,25/3/22 20:20,Siesta siesta,11,4,0.831,0,0.03125,1,0,8,10703,0,0,0,0
17,25/3/22 20:20,Siesta siesta,11,4,0.878,0,0.03125,1,0,8,10707,0,0,0,0
18,25/3/22 20:20,Siesta siesta,11,4,0.933,0,0.03125,1,0,8,10712,0,0,0,0
19,25/3/22 20:20,Siesta siesta,11,4,0.987,0,0.03125,1,0,8,10718,0,0,0,0
20,25/3/22 20:20,Siesta siesta,11,4,1.035,0,0.03125,1,0,8,10727,0,0,0,0
21,25/3/22 20:20,Siesta siesta,11,4,1.09,0,0.03125,1,0,8,10749,0,0,0,0
22,25/3/22 20:20,Siesta siesta,11,4,1.137,0,0.03125,1,0,8,10773,0,0,0,0
23,25/3/22 20:20,Siesta siesta,11,4,1.195,0,0.03125,1,0,8,10796,0,0,0,0
24,25/3/22 20:20,Siesta siesta,11,4,1.243,0,0.03125,1,0,8,10808,0,0,0,0
25,25/3/22 20:20,Siesta siesta,11,4,1.3,0,0.028649,0.921968,0.031213,8,10808,0,0,0,0
26,25/3/22 20:20,Siesta siesta,11,4,1.347,0,0.018448,0.615927,0.153629,8,10764,0,0,0,0
27,25/3/22 20:20,Siesta siesta,11,4,1.403,0,0.006315,0.251955,0.299218,8,10658,0,0,0,0
28,25/3/22 20:20,Siesta siesta,11,4,1.451,0,0,0.053895,0.461051,7,11932,0,0,0,0
29,25/3/22 20:20,Siesta siesta,11,4,1.508,0,0,0.02801,0.719896,7,11757,0,0,0,0
30,25/3/22 20:20,Siesta siesta,11,4,1.555,0,0,0.006939,0.930611,7,11440,0,0,0,0
31,25/3/22 20:20,Siesta siesta,11,4,1.614,0,0,0,1,6,12342,0,0,0,0
32,25/3/22 20:20,Siesta siesta,11,4,1.661,0,0,0,1,6,12226,0,0,0,0
33,25/3/22 20:20,Siesta siesta,11,4,1.72,0,-0.001486,0,1,5,12060,0,0,0,0
34,25/3/22 20:20,Siesta siesta,11,4,1.768,0,-0.012329,0,1,5,12924,0,0,0,0
35,25/3/22 20:20,Siesta siesta,11,4,1.827,0,-0.025831,0,1,5,12720,0,0,0,0
36,25/3/22 20:20,Siesta siesta,11,4,1.875,0,-0.036269,0,1,5,12321,0,0,0,0
37,25/3/22 20:20,Siesta siesta,11,4,1.935,0,-0.048851,0,1,5,11853,0,0,0,0
38,25/3/22 20:20,Siesta siesta,11,4,1.984,0,-0.059137,0,1,5,11467,0,0,0,0
39,25/3/22 20:20,Siesta siesta,11,4,2.045,0,-0.072255,0,0.941468,4,11873,0,0,0,0
40,25/3/22 20:20,Siesta siesta,11,4,2.094,0,-0.082996,0,0.877024,4,12165,0,0,0,0
41,25/3/22 20:20,Siesta siesta,11,4,2.153,0,-0.095988,0,0.799075,4,12066,0,0,0,0
42,25/3/22 20:20,Siesta siesta,11,4,2.203,0,-0.107522,0,0.729867,4,11777,0,0,0,0
43,25/3/22 20:20,Siesta siesta,11,4,2.264,0,-0.121656,0,0.645062,4,11462,0,0,0,0
44,25/3/22 20:20,Siesta siesta,11,4,2.314,0,-0.133236,0,0.592058,4,11208,0,0,0,0
