frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
20636,2022/3/25 20:19,h0,1,4,0,2,0.03125,1,0,8,10476,1,0,0,0
20637,2022/3/25 20:19,h0,1,4,0.03,0,0.03125,1,0,8,10492,0,0,0,0
20638,2022/3/25 20:19,h0,1,4,0.082,0,0.03125,1,0,8,10510,0,0,0,0
20639,2022/3/25 20:19,h0,1,4,0.133,0,0.03125,1,0,8,10527,0,0,0,0
20640,2022/3/25 20:19,h0,1,4,0.185,0,0.03125,1,0,8,10545,0,0,0,0
20641,2022/3/25 20:19,h0,1,4,0.238,0,0.03125,1,0,8,10562,0,0,0,0
20642,2022/3/25 20:19,h0,1,4,0.29,0,0.03125,1,0,8,10573,0,0,0,0
20644,2022/3/25 20:19,h0,1,4,0.341,0,0.03125,1,0,8,10583,0,0,0,0
20645,2022/3/25 20:19,h0,1,4,0.396,0,0.03125,1,0,8,10593,0,0,0,0
20646,2022/3/25 20:19,h0,1,4,0.449,0,0.03125,1,0,8,10602,0,0,0,0
20647,2022/3/25 20:19,h0,1,4,0.449,0,0.03125,1,0,8,10615,0,0,0,0
20648,2022/3/25 20:19,h0,1,4,0.557,0,0.03125,1,0,8,10628,0,0,0,0
20649,2022/3/25 20:19,h0,1,4,0.606,0,0.03125,1,0,8,10639,0,0,0,0
20650,2022/3/25 20:19,h0,1,4,0.659,0,0.03125,1,0,8,10651,0,0,0,0
20651,2022/3/25 20:19,h0,1,4,0.707,0,0.03125,1,0,8,10665,0,0,0,0
20652,2022/3/25 20:19,h0,1,4,0.768,0,0.03125,1,0,8,10682,0,0,0,0
20653,2022/3/25 20:19,h0,1,4,0.813,0,0.03125,1,0,8,10694,0,0,0,0
20655,2022/3/25 20:19,h0,1,4,0.87,0,0.03125,1,0,8,10710,0,0,0,0
20656,2022/3/25 20:19,h0,1,4,0.912,0,0.03125,1,0,8,10724,0,0,0,0
20657,2022/3/25 20:19,h0,1,4,0.97,0,0.03125,1,0,8,10740,0,0,0,0
20658,2022/3/25 20:19,h0,1,4,1.024,0,0.03125,1,0,8,10744,0,0,0,0
20659,2022/3/25 20:19,h0,1,4,1.076,0,0.03125,1,0,8,10746,0,0,0,0
20660,2022/3/25 20:19,h0,1,4,1.132,0,0.03125,1,0,8,10753,0,0,0,0
20661,2022/3/25 20:19,h0,1,4,1.189,0,0.03125,1,0,8,10772,0,0,0,0
20662,2022/3/25 20:19,h0,1,4,1.244,0,0.03125,1,0,8,10793,0,0,0,0
20663,2022/3/25 20:19,h0,1,4,1.298,0,0.03125,1,0,8,10816,0,0,0,0
20665,2022/3/25 20:19,h0,1,4,1.357,0,0.03125,1,0,8,10818,0,0,0,0
20666,2022/3/25 20:19,h0,1,4,1.412,0,0.03125,1,0,8,10824,0,0,0,0
20667,2022/3/25 20:19,h0,1,4,1.469,0,0.03125,1,0,8,10831,0,0,0,0
20668,2022/3/25 20:19,h0,1,4,1.525,0,0.03125,1,0,8,10838,0,0,0,0
20669,2022/3/25 20:19,h0,1,4,1.582,0,0.03125,1,0,8,10844,0,0,0,0
20670,2022/3/25 20:19,h0,1,4,1.638,0,0.03125,1,0,8,10852,0,0,0,0
20671,2022/3/25 20:19,h0,1,4,1.696,0,0.03125,1,0,8,10863,0,0,0,0
20672,2022/3/25 20:19,h0,1,4,1.754,0,0.03125,1,0,8,10873,0,0,0,0
20673,2022/3/25 20:19,h0,1,4,1.809,0,0.03125,1,0,8,10883,0,0,0,0
20675,2022/3/25 20:19,h0,1,4,1.864,0,0.03125,1,0,8,10891,0,0,0,0
20676,2022/3/25 20:19,h0,1,4,1.917,0,0.013936,0.549839,0.554044,7,12236,0,0,0,0
20677,2022/3/25 20:19,h0,1,4,1.969,0,0.002923,0.263491,0.906472,7,11884,0,0,0,0
20678,2022/3/25 20:19,h0,1,4,2.023,0,0,0.1875,1,7,11598,0,0,0,0
20679,2022/3/25 20:19,h0,1,4,2.074,0,0,0.1875,1,7,11390,0,0,0,0
20680,2022/3/25 20:19,h0,1,4,2.127,0,0,0.012803,1,6,11760,0,0,0,0
20681,2022/3/25 20:19,h0,1,4,2.18,0,-0.008593,0,1,5,13645,0,0,0,0
20682,2022/3/25 20:19,h0,1,4,2.229,0,-0.018683,0,1,5,13310,0,0,0,0
20683,2022/3/25 20:19,h0,1,4,2.281,0,-0.029072,0,1,5,12868,0,0,0,0
20684,2022/3/25 20:19,h0,1,4,2.336,0,-0.041218,0,1,4,12694,0,0,0,0
20685,2022/3/25 20:19,h0,1,4,2.388,0,-0.052976,0,1,4,13233,0,0,0,0
20686,2022/3/25 20:19,h0,1,4,2.439,0,-0.0625,0,1,4,13535,0,0,0,0
20687,2022/3/25 20:19,h0,1,4,2.491,0,-0.0625,0,1,4,13157,0,0,0,0
20688,2022/3/25 20:19,h0,1,4,2.541,0,-0.086867,0,1,4,12703,0,0,0,0
20689,2022/3/25 20:19,h0,1,4,2.592,0,-0.09375,0,1,4,12247,0,0,0,0
20690,2022/3/25 20:19,h0,1,4,2.655,0,-0.146293,0,0.824856,4,11796,0,0,0,0
20691,2022/3/25 20:19,h0,1,4,2.704,0,-0.178016,0,0.719115,4,11466,0,0,0,0
20692,2022/3/25 20:19,h0,1,4,2.765,0,-0.197708,0,0.62625,4,11086,0,0,0,0
