frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22333,2022/4/22 20:21,h0,1,2,0.11,3.96582,0,0,1,0,7,10603,0,0,0,0
22335,2022/4/22 20:21,h0,1,2,0.213,11.5205,0,0,1,0,7,10682,0,0,0,0
22337,2022/4/22 20:21,h0,1,2,0.265,15.4194,0,0,1,0,7,10718,0,0,0,0
22338,2022/4/22 20:21,h0,1,2,0.318,19.3491,0,0,1,0,7,10735,0,0,0,0
22339,2022/4/22 20:21,h0,1,2,0.37,23.271,0,0,1,0,7,10766,0,0,0,0
22340,2022/4/22 20:21,h0,1,2,0.422,27.1279,0,0,1,0,7,10789,0,0,0,0
22341,2022/4/22 20:21,h0,1,2,0.474,31.0454,0,0,1,0,7,10813,0,0,0,0
22342,2022/4/22 20:21,h0,1,2,0.527,35.0303,0,0,1,0,7,10856,0,0,0,0
22343,2022/4/22 20:21,h0,1,2,0.581,39.1069,0,0,1,0,7,10877,0,0,0,0
22344,2022/4/22 20:21,h0,1,2,0.635,43.2207,0,0,1,0,7,10899,0,0,0,0
22345,2022/4/22 20:21,h0,1,2,0.69,47.3931,0,0,1,0,7,10930,0,0,0,0
22346,2022/4/22 20:21,h0,1,2,0.744,51.4771,0,0,1,0,7,10963,0,0,0,0
22347,2022/4/22 20:21,h0,1,2,0.798,55.5142,0,0,1,0,7,10979,0,0,0,0
22348,2022/4/22 20:21,h0,1,2,0.798,55.5142,0,0,1,0,7,11007,0,0,0,0
22349,2022/4/22 20:21,h0,1,2,0.906,63.8701,0,0,1,0,7,11047,0,0,0,0
22350,2022/4/22 20:21,h0,1,2,0.959,67.9229,0,0,1,0,7,11062,0,0,0,0
22351,2022/4/22 20:21,h0,1,2,1.012,71.9805,0,0,1,0,7,11083,0,0,0,0
22352,2022/4/22 20:21,h0,1,2,1.012,71.9805,0,0,1,0,7,11113,0,0,0,0
22353,2022/4/22 20:21,h0,1,2,1.12,80.0371,0,0,1,0,7,11146,0,0,0,0
22354,2022/4/22 20:21,h0,1,2,1.171,84.1226,0,0,1,0,7,11160,0,0,0,0
22355,2022/4/22 20:21,h0,1,2,1.224,88.1606,0,0,1,0,7,11173,0,0,0,0
22357,2022/4/22 20:21,h0,1,2,1.277,92.2456,0,0,1,0,7,11197,0,0,0,0
22359,2022/4/22 20:21,h0,1,2,1.382,100.422,0,0,1,0,7,11225,0,0,0,0
22360,2022/4/22 20:21,h0,1,2,1.435,104.46,0,0,1,0,7,11267,0,0,0,0
22361,2022/4/22 20:21,h0,1,2,1.487,108.637,0,0,1,0,7,11289,0,0,0,0
22363,2022/4/22 20:21,h0,1,2,1.593,116.909,0,0,1,0,7,11300,0,0,0,0
22364,2022/4/22 20:21,h0,1,2,1.646,120.94,0,0,1,0,7,11316,0,0,0,0
22365,2022/4/22 20:21,h0,1,2,1.698,125.072,0,0,1,0,7,11344,0,0,0,0
22366,2022/4/22 20:21,h0,1,2,1.75,129.229,0,0,1,0,7,11371,0,0,0,0
22367,2022/4/22 20:21,h0,1,2,1.804,133.294,0,0,1,0,7,11381,0,0,0,0
22368,2022/4/22 20:21,h0,1,2,1.855,137.449,0,0,1,0,7,11385,0,0,0,0
22369,2022/4/22 20:21,h0,1,2,1.907,141.519,0,0,1,0,7,11389,0,0,0,0
22370,2022/4/22 20:21,h0,1,2,1.958,145.526,0,0,1,0,7,11403,0,0,0,0
22372,2022/4/22 20:21,h0,1,2,2.063,153.815,0,0,1,0,7,11440,0,0,0,0
22373,2022/4/22 20:21,h0,1,2,2.114,157.855,0,0,1,0,7,11459,0,0,0,0
22374,2022/4/22 20:21,h0,1,2,2.165,161.982,0,0,1,0,7,11476,0,0,0,0
22375,2022/4/22 20:21,h0,1,2,2.165,161.982,0,0,1,0,7,11495,0,0,0,0
22377,2022/4/22 20:21,h0,1,2,2.269,170.159,0,0,1,0,7,11512,0,0,0,0
22378,2022/4/22 20:21,h0,1,2,2.322,174.263,0,0,1,0,7,11517,0,0,0,0
22379,2022/4/22 20:21,h0,1,2,2.372,178.461,0,0,1,0,7,11520,0,0,0,0
22380,2022/4/22 20:21,h0,1,2,2.423,182.459,0,0,1,0,7,11530,0,0,0,0
22381,2022/4/22 20:21,h0,1,2,2.476,186.729,0,0,1,0,7,11543,0,0,0,0
22382,2022/4/22 20:21,h0,1,2,2.527,190.837,0,0,1,0,7,11561,0,0,0,0
22383,2022/4/22 20:21,h0,1,2,2.527,190.837,0,0,1,0,7,11580,0,0,0,0
22384,2022/4/22 20:21,h0,1,2,2.629,198.976,0,0,1,0,7,11597,0,0,0,0
22385,2022/4/22 20:21,h0,1,2,2.679,203.02,0,0,1,0,7,11607,0,0,0,0
22386,2022/4/22 20:21,h0,1,2,2.738,207.82,0,0,1,0,7,11619,0,0,0,0
