frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22017,2022/3/25 20:20,wofa.bilibili,6,2,0,0,0.03125,1,0,8,10451,0,0,0,0
22019,2022/3/25 20:20,wofa.bilibili,6,2,0.056,0,0.03125,1,0,8,10460,0,0,0,0
22020,2022/3/25 20:20,wofa.bilibili,6,2,0.111,0,0.03125,1,0,8,10471,0,0,0,0
22021,2022/3/25 20:20,wofa.bilibili,6,2,0.165,0,0.03125,1,0,8,10492,0,0,0,0
22022,2022/3/25 20:20,wofa.bilibili,6,2,0.22,0,0.03125,1,0,8,10520,0,0,0,0
22023,2022/3/25 20:20,wofa.bilibili,6,2,0.275,0,0.03125,1,0,8,10544,0,0,0,0
22024,2022/3/25 20:20,wofa.bilibili,6,2,0.33,0,0.03125,1,0,8,10560,0,0,0,0
22025,2022/3/25 20:20,wofa.bilibili,6,2,0.385,0,0.03125,1,0,8,10573,0,0,0,0
22026,2022/3/25 20:20,wofa.bilibili,6,2,0.44,0,0.03125,1,0,8,10585,0,0,0,0
22027,2022/3/25 20:20,wofa.bilibili,6,2,0.488,0,0.03125,1,0,8,10597,0,0,0,0
22029,2022/3/25 20:20,wofa.bilibili,6,2,0.542,0,0.03125,1,0,8,10610,0,0,0,0
22030,2022/3/25 20:20,wofa.bilibili,6,2,0.597,0,0.03125,1,0,8,10625,0,0,0,0
22031,2022/3/25 20:20,wofa.bilibili,6,2,0.651,0,0.03125,1,0,8,10640,0,0,0,0
22034,2022/3/25 20:20,wofa.bilibili,6,2,0.816,0,0.03125,1,0,8,10646,0,0,0,0
22035,2022/3/25 20:20,wofa.bilibili,6,2,0.87,0,0.03125,1,0,8,10656,0,0,0,0
22036,2022/3/25 20:20,wofa.bilibili,6,2,0.925,0,0.03125,1,0,8,10672,0,0,0,0
22037,2022/3/25 20:20,wofa.bilibili,6,2,0.979,0,0.03125,1,0,8,10690,0,0,0,0
22039,2022/3/25 20:20,wofa.bilibili,6,2,1.034,0,0.03125,1,0,8,10710,0,0,0,0
22040,2022/3/25 20:20,wofa.bilibili,6,2,1.09,0,0.03125,1,0,8,10732,0,0,0,0
22041,2022/3/25 20:20,wofa.bilibili,6,2,1.142,0,0.03125,1,0,8,10746,0,0,0,0
22042,2022/3/25 20:20,wofa.bilibili,6,2,1.199,0,0.03125,1,0,8,10753,0,0,0,0
22043,2022/3/25 20:21,wofa.bilibili,6,2,1.253,0,0.03125,1,0,8,10760,0,0,0,0
22044,2022/3/25 20:21,wofa.bilibili,6,2,1.308,0,0.03125,1,0,8,10766,0,0,0,0
22045,2022/3/25 20:21,wofa.bilibili,6,2,1.362,0,0.03125,1,0,8,10772,0,0,0,0
22046,2022/3/25 20:21,wofa.bilibili,6,2,1.417,0,0.03125,1,0,8,10780,0,0,0,0
22047,2022/3/25 20:21,wofa.bilibili,6,2,1.473,0,0.03125,1,0,8,10788,0,0,0,0
22048,2022/3/25 20:21,wofa.bilibili,6,2,1.527,0,0.03125,1,0,8,10797,0,0,0,0
22049,2022/3/25 20:21,wofa.bilibili,6,2,1.581,0,0.02146,1,0.01958,8,10804,0,0,0,0
22050,2022/3/25 20:21,wofa.bilibili,6,2,1.636,0,0.009774,1,0.042951,8,10807,0,0,0,0
22051,2022/3/25 20:21,wofa.bilibili,6,2,1.692,0,0,0.95617,0.128244,7,12236,0,0,0,0
22052,2022/3/25 20:21,wofa.bilibili,6,2,1.744,0,0,0.738723,0.454415,7,12175,0,0,0,0
22053,2022/3/25 20:21,wofa.bilibili,6,2,1.798,0,0,0.510628,0.796559,7,11862,0,0,0,0
22054,2022/3/25 20:21,wofa.bilibili,6,2,1.854,0,0,0.316831,1,6,12307,0,0,0,0
22055,2022/3/25 20:21,wofa.bilibili,6,2,1.908,0,0,0.18232,1,6,12654,0,0,0,0
22056,2022/3/25 20:21,wofa.bilibili,6,2,1.961,0,0,0.049129,1,6,12255,0,0,0,0
22057,2022/3/25 20:21,wofa.bilibili,6,2,2.017,0,-0.007574,0,1,5,12687,0,0,0,0
22059,2022/3/25 20:21,wofa.bilibili,6,2,2.063,0,-0.017162,0,1,5,13172,0,0,0,0
22060,2022/3/25 20:21,wofa.bilibili,6,2,2.116,0,-0.028256,0,1,5,12776,0,0,0,0
22061,2022/3/25 20:21,wofa.bilibili,6,2,2.17,0,-0.039246,0,1,5,12365,0,0,0,0
22062,2022/3/25 20:21,wofa.bilibili,6,2,2.223,0,-0.050069,0,1,5,11959,0,0,0,0
22063,2022/3/25 20:21,wofa.bilibili,6,2,2.274,0,-0.060574,0,1,5,11562,0,0,0,0
22064,2022/3/25 20:21,wofa.bilibili,6,2,2.325,0,-0.087162,0,0.967117,4,11595,0,0,0,0
